date,actual,forecast
2025-04-08 17:15:00-04:00,49.5,48.712555
2025-04-08 17:30:00-04:00,49.35,48.832718
2025-04-08 17:45:00-04:00,49.29,48.772636
2025-04-08 18:00:00-04:00,49.35,48.832718
2025-04-08 18:15:00-04:00,50.06,48.832718
2025-04-08 18:45:00-04:00,50.0,48.8928
2025-04-08 19:00:00-04:00,49.0253,48.832718
2025-04-08 19:15:00-04:00,49.0,48.772636
2025-04-08 19:30:00-04:00,48.973,48.772636
2025-04-08 19:45:00-04:00,48.94,48.832718
2025-04-09 05:00:00-04:00,50.44,48.772636
2025-04-09 05:15:00-04:00,50.06,48.772636
2025-04-09 07:00:00-04:00,49.3,48.832718
2025-04-09 07:15:00-04:00,49.27,48.832718
2025-04-09 08:00:00-04:00,48.75,48.712555
2025-04-09 08:15:00-04:00,48.35,48.652473
2025-04-09 08:30:00-04:00,48.6,48.772636
2025-04-09 08:45:00-04:00,48.12,48.712555
2025-04-09 09:00:00-04:00,49.13,48.59239
2025-04-09 09:15:00-04:00,49.13,48.712555
2025-04-09 09:30:00-04:00,49.19,48.59239
2025-04-09 09:45:00-04:00,49.42,48.59239
2025-04-09 10:00:00-04:00,49.32,48.532307
2025-04-09 10:15:00-04:00,49.62,48.652473
2025-04-09 10:30:00-04:00,48.96,48.652473
2025-04-09 10:45:00-04:00,48.14,48.652473
2025-04-09 11:00:00-04:00,49.525,48.532307
2025-04-09 11:15:00-04:00,50.055,48.532307
2025-04-09 11:30:00-04:00,50.14,48.472225
2025-04-09 11:45:00-04:00,50.24,48.532307
2025-04-09 12:00:00-04:00,50.53,48.412144
2025-04-09 12:15:00-04:00,50.15,48.412144
2025-04-09 12:30:00-04:00,50.395,48.472225
2025-04-09 12:45:00-04:00,51.05,48.532307
2025-04-09 13:00:00-04:00,51.525,48.472225
2025-04-09 13:15:00-04:00,54.01,48.532307
2025-04-09 13:30:00-04:00,54.075,48.472225
2025-04-09 13:45:00-04:00,56.4814,48.472225
2025-04-09 14:00:00-04:00,56.2,48.412144
2025-04-09 14:15:00-04:00,57.25,48.412144
2025-04-09 14:30:00-04:00,56.16,48.472225
2025-04-09 14:45:00-04:00,55.23,48.352062
2025-04-09 15:00:00-04:00,55.77,48.291977
2025-04-09 15:15:00-04:00,56.075,48.352062
2025-04-09 15:30:00-04:00,56.06,48.352062
2025-04-09 15:45:00-04:00,55.56,48.291977
2025-04-09 16:00:00-04:00,56.73,48.291977
