date,actual,forecast
2024-05-06 04:00:00-04:00,9.07,8.974935
2024-05-06 05:00:00-04:00,9.1,8.952833
2024-05-06 06:00:00-04:00,9.09,8.924417
2024-05-06 07:00:00-04:00,9.09,8.905472
2024-05-06 08:00:00-04:00,9.09,8.896
2024-05-06 09:00:00-04:00,9.06,8.889686
2024-05-06 09:30:00-04:00,9.17,8.8738985
2024-05-06 10:30:00-04:00,9.175,8.864427
2024-05-06 11:30:00-04:00,9.185,8.878634
2024-05-06 12:30:00-04:00,9.19,8.894422
2024-05-06 13:30:00-04:00,9.17,8.905472
2024-05-06 14:30:00-04:00,9.185,8.916523
2024-05-06 15:30:00-04:00,9.3,8.916523
2024-05-06 16:00:00-04:00,9.27,8.922838
2024-05-06 17:00:00-04:00,9.24,8.935468
2024-05-06 18:00:00-04:00,9.28,8.9291525
2024-05-06 19:00:00-04:00,9.27,8.922838
2024-05-07 04:00:00-04:00,9.24,8.924417
2024-05-07 05:00:00-04:00,9.3,8.927574
2024-05-07 06:00:00-04:00,9.28,8.933888
2024-05-07 07:00:00-04:00,9.2,8.927574
2024-05-07 08:00:00-04:00,9.2,8.9291525
2024-05-07 09:00:00-04:00,9.24,8.922838
2024-05-07 09:30:00-04:00,8.9463,8.930732
2024-05-07 10:30:00-04:00,9.015,8.930732
2024-05-07 11:30:00-04:00,9.015,8.938624
2024-05-07 12:30:00-04:00,8.89,8.938624
2024-05-07 13:30:00-04:00,8.74,8.949676
2024-05-07 14:30:00-04:00,8.75,8.9544115
2024-05-07 15:30:00-04:00,8.63,8.959147
2024-05-07 16:00:00-04:00,8.7399,8.963884
2024-05-07 17:00:00-04:00,8.75,8.96862
2024-05-07 18:00:00-04:00,8.82,8.990722
2024-05-07 19:00:00-04:00,8.7,8.98125
2024-05-08 04:00:00-04:00,8.87,8.970199
2024-05-08 05:00:00-04:00,8.86,8.974935
2024-05-08 06:00:00-04:00,8.85,8.962305
2024-05-08 07:00:00-04:00,8.71,8.948097
2024-05-08 08:00:00-04:00,8.66,8.94494
2024-05-08 09:00:00-04:00,8.6576,8.948097
2024-05-08 09:30:00-04:00,8.645,8.957569
2024-05-08 10:30:00-04:00,8.6001,8.952833
2024-05-08 11:30:00-04:00,8.66,8.943361
2024-05-08 12:30:00-04:00,8.66,8.948097
2024-05-08 13:30:00-04:00,8.715,8.948097
2024-05-08 14:30:00-04:00,8.735,8.94494
2024-05-08 15:30:00-04:00,8.775,8.927574
2024-05-08 16:00:00-04:00,9.06,8.927574
2024-05-08 17:00:00-04:00,8.97,8.93231
2024-05-08 18:00:00-04:00,9.0474,8.938624
2024-05-08 19:00:00-04:00,9.07,8.9291525
2024-05-09 04:00:00-04:00,9.02,8.922838
2024-05-09 05:00:00-04:00,8.955,8.911787
2024-05-09 06:00:00-04:00,8.93,8.911787
2024-05-09 07:00:00-04:00,8.88,8.911787
2024-05-09 08:00:00-04:00,9.05,8.910209
2024-05-09 09:00:00-04:00,9.13,8.925995
2024-05-09 09:30:00-04:00,8.735,8.921259
2024-05-09 10:30:00-04:00,8.925,8.919681
2024-05-09 11:30:00-04:00,9.04,8.911787
2024-05-09 12:30:00-04:00,9.015,8.911787
2024-05-09 13:30:00-04:00,9.0699,8.938624
2024-05-09 14:30:00-04:00,9.245,8.962305
2024-05-09 15:30:00-04:00,9.21,8.962305
2024-05-09 16:00:00-04:00,9.17,8.970816
2024-05-09 17:00:00-04:00,9.11,8.96631
2024-05-09 18:00:00-04:00,9.2,8.963306
2024-05-09 19:00:00-04:00,9.12,8.972318
2024-05-10 04:00:00-04:00,9.23,8.975322
2024-05-10 05:00:00-04:00,9.29,8.970816
2024-05-10 06:00:00-04:00,9.28,8.969314
2024-05-10 07:00:00-04:00,9.27,8.970816
2024-05-10 08:00:00-04:00,9.28,8.978326
2024-05-10 09:00:00-04:00,9.24,8.97382
2024-05-10 09:30:00-04:00,8.86,8.970816
2024-05-10 10:30:00-04:00,8.845,8.970816
2024-05-10 11:30:00-04:00,8.7619,8.978326
2024-05-10 12:30:00-04:00,8.66,8.970816
2024-05-10 13:30:00-04:00,8.62,8.9648075
2024-05-10 14:30:00-04:00,8.645,8.969314
2024-05-10 15:30:00-04:00,8.72,8.98133
2024-05-10 16:00:00-04:00,8.745,8.984334
2024-05-10 17:00:00-04:00,8.75,8.979828
2024-05-10 18:00:00-04:00,8.73,8.982832
2024-05-10 19:00:00-04:00,8.73,8.991844
2024-05-13 04:00:00-04:00,8.61,8.98884
2024-05-13 05:00:00-04:00,8.62,8.991844
2024-05-13 06:00:00-04:00,8.69,8.991844
2024-05-13 07:00:00-04:00,8.75,8.994848
2024-05-13 08:00:00-04:00,8.76,8.996349
2024-05-13 09:00:00-04:00,8.8,8.999353
2024-05-13 09:30:00-04:00,9.1293,9.0023575
2024-05-13 10:30:00-04:00,8.9662,9.01137
2024-05-13 11:30:00-04:00,8.84,9.005362
2024-05-13 12:30:00-04:00,8.7286,9.0038595
2024-05-13 13:30:00-04:00,8.725,9.009868
2024-05-13 14:30:00-04:00,8.707,9.024888
2024-05-13 15:30:00-04:00,8.76,9.024888
2024-05-13 16:00:00-04:00,8.78,9.01888
2024-05-13 17:00:00-04:00,8.82,9.020382
2024-05-13 18:00:00-04:00,8.82,9.015876
2024-05-13 19:00:00-04:00,8.82,9.006864
2024-05-14 04:00:00-04:00,8.87,9.005362
2024-05-14 05:00:00-04:00,8.84,9.005362
2024-05-14 06:00:00-04:00,8.79,9.009868
2024-05-14 07:00:00-04:00,8.86,9.006864
2024-05-14 08:00:00-04:00,8.85,9.0038595
2024-05-14 09:00:00-04:00,8.92,8.996349
2024-05-14 09:30:00-04:00,9.14,8.996349
2024-05-14 10:30:00-04:00,9.3,8.991844
2024-05-14 11:30:00-04:00,9.13,8.987338
2024-05-14 12:30:00-04:00,9.025,8.987338
2024-05-14 13:30:00-04:00,9.155,8.990342
2024-05-14 14:30:00-04:00,9.255,8.993346
2024-05-14 15:30:00-04:00,9.22,8.997851
2024-05-14 16:00:00-04:00,9.235,9.000855
2024-05-14 17:00:00-04:00,9.2,9.008366
2024-05-14 18:00:00-04:00,9.23,8.999353
2024-05-14 19:00:00-04:00,9.39,9.005362
2024-05-15 04:00:00-04:00,9.27,9.006864
2024-05-15 05:00:00-04:00,9.25,9.009868
2024-05-15 06:00:00-04:00,9.26,9.000855
2024-05-15 07:00:00-04:00,9.21,8.997851
2024-05-15 08:00:00-04:00,9.23,8.996349
2024-05-15 09:00:00-04:00,9.42,8.991844
2024-05-15 09:30:00-04:00,8.925,8.993346
2024-05-15 10:30:00-04:00,8.9988,8.98884
2024-05-15 11:30:00-04:00,9.075,8.991844
