date,actual,forecast
2025-04-03 09:30:00-04:00,294.86,284.96442
2025-04-03 10:30:00-04:00,290.64,284.48303
2025-04-03 11:30:00-04:00,290.84,283.44006
2025-04-03 12:30:00-04:00,281.6701,282.82498
2025-04-03 13:30:00-04:00,277.44,282.07617
2025-04-03 14:30:00-04:00,279.44,281.11343
2025-04-03 15:30:00-04:00,283.36,280.41812
2025-04-03 16:00:00-04:00,282.25,280.04373
2025-04-03 17:00:00-04:00,288.5,279.61584
2025-04-03 18:00:00-04:00,286.13,279.4019
2025-04-03 19:00:00-04:00,288.93,279.18796
2025-04-04 04:00:00-04:00,293.81,278.86703
2025-04-04 05:00:00-04:00,291.35,278.2787
2025-04-04 06:00:00-04:00,274.08,277.9043
2025-04-04 07:00:00-04:00,270.17,277.20898
2025-04-04 08:00:00-04:00,283.8,277.31595
2025-04-04 09:00:00-04:00,284.94,277.58337
2025-04-04 09:30:00-04:00,274.5,277.7973
2025-04-04 10:30:00-04:00,278.525,277.69034
2025-04-04 11:30:00-04:00,274.1171,278.38565
2025-04-04 12:30:00-04:00,280.6,278.974
2025-04-04 13:30:00-04:00,290.1334,279.45538
2025-04-04 14:30:00-04:00,295.1073,279.82977
2025-04-04 15:30:00-04:00,293.2,280.0972
2025-04-04 16:00:00-04:00,292.5,280.73904
2025-04-04 17:00:00-04:00,291.6,280.95297
2025-04-04 18:00:00-04:00,291.54,280.68555
2025-04-04 19:00:00-04:00,292.3,281.00647
2025-04-07 04:00:00-04:00,259.94,281.38086
2025-04-07 05:00:00-04:00,261.9,281.48782
2025-04-07 06:00:00-04:00,267.35,281.2739
2025-04-07 07:00:00-04:00,267.9,281.38086
2025-04-07 08:00:00-04:00,266.28,281.86224
2025-04-07 09:00:00-04:00,260.25,281.75528
2025-04-07 09:30:00-04:00,268.9908,281.75528
2025-04-07 10:30:00-04:00,265.3,282.07617
2025-04-07 11:30:00-04:00,264.29,282.12967
2025-04-07 12:30:00-04:00,270.0375,282.07617
2025-04-07 13:30:00-04:00,271.8375,281.70178
2025-04-07 14:30:00-04:00,270.465,281.86224
2025-04-07 15:30:00-04:00,268.11,282.0227
2025-04-07 16:00:00-04:00,269.82,282.18317
2025-04-07 17:00:00-04:00,270.97,281.9692
2025-04-07 18:00:00-04:00,275.98,282.07617
2025-04-07 19:00:00-04:00,273.8488,282.29013
2025-04-08 04:00:00-04:00,271.34,282.77148
2025-04-08 05:00:00-04:00,270.94,282.87848
2025-04-08 06:00:00-04:00,271.1,282.50406
2025-04-08 07:00:00-04:00,274.23,282.55756
2025-04-08 08:00:00-04:00,277.74,282.50406
2025-04-08 09:00:00-04:00,278.16,282.3436
2025-04-08 09:30:00-04:00,278.755,282.66452
2025-04-08 10:30:00-04:00,268.05,282.87848
2025-04-08 11:30:00-04:00,265.1585,283.0924
2025-04-08 12:30:00-04:00,252.83,283.3866
2025-04-08 13:30:00-04:00,252.85,284.05515
2025-04-08 14:30:00-04:00,243.68,284.2156
2025-04-08 15:30:00-04:00,237.94,284.53653
2025-04-08 16:00:00-04:00,238.89,284.80396
2025-04-08 17:00:00-04:00,240.99,284.80396
2025-04-08 18:00:00-04:00,236.1,284.697
2025-04-08 19:00:00-04:00,230.5,285.07138
2025-04-09 04:00:00-04:00,245.73,284.99115
2025-04-09 05:00:00-04:00,244.39,284.96442
2025-04-09 06:00:00-04:00,243.99,286.20877
2025-04-09 07:00:00-04:00,239.0,286.17075
2025-04-09 08:00:00-04:00,238.65,286.15808
2025-04-09 09:00:00-04:00,242.0,286.60175
2025-04-09 09:30:00-04:00,249.696,287.15952
2025-04-09 10:30:00-04:00,248.5536,287.26093
2025-04-09 11:30:00-04:00,249.2,287.44473
2025-04-09 12:30:00-04:00,270.8,287.74896
2025-04-09 13:30:00-04:00,299.1,287.98984
2025-04-09 14:30:00-04:00,299.4843,288.12292
2025-04-09 15:30:00-04:00,295.92,288.4747
2025-04-09 16:00:00-04:00,298.49,288.66644
2025-04-09 17:00:00-04:00,295.399,289.2464
2025-04-09 18:00:00-04:00,294.0,289.55222
2025-04-09 19:00:00-04:00,291.97,289.55222
2025-04-10 04:00:00-04:00,285.5,289.89764
2025-04-10 05:00:00-04:00,284.08,290.13217
2025-04-10 06:00:00-04:00,285.82,290.32864
2025-04-10 07:00:00-04:00,286.0,290.44272
2025-04-10 08:00:00-04:00,285.99,290.6075
2025-04-10 09:00:00-04:00,282.5,291.02585
2025-04-10 09:30:00-04:00,277.77,290.97516
2025-04-10 10:30:00-04:00,272.405,291.0005
2025-04-10 11:30:00-04:00,263.5,290.98782
2025-04-10 12:30:00-04:00,272.355,291.2033
2025-04-10 13:30:00-04:00,277.4803,291.22867
2025-04-10 14:30:00-04:00,269.02,291.44418
2025-04-10 15:30:00-04:00,272.17,291.63434
2025-04-10 16:00:00-04:00,273.73,291.8118
2025-04-10 17:00:00-04:00,273.06,291.4822
2025-04-10 18:00:00-04:00,274.15,291.3808
2025-04-10 19:00:00-04:00,271.0,291.45685
2025-04-11 04:00:00-04:00,278.0,291.9132
2025-04-11 05:00:00-04:00,279.6,291.96393
2025-04-11 06:00:00-04:00,285.03,292.12872
2025-04-11 07:00:00-04:00,282.77,292.25546
2025-04-11 08:00:00-04:00,283.0,292.509
2025-04-11 09:00:00-04:00,280.9996,292.4076
2025-04-11 09:30:00-04:00,278.84,292.25546
2025-04-11 10:30:00-04:00,288.03,292.55972
2025-04-11 11:30:00-04:00,291.13,292.66113
2025-04-11 12:30:00-04:00,296.3,292.68646
2025-04-11 13:30:00-04:00,302.06,292.509
2025-04-11 14:30:00-04:00,301.705,292.28082
2025-04-11 15:30:00-04:00,299.65,292.23013
2025-04-11 16:00:00-04:00,300.0801,292.09067
2025-04-11 17:00:00-04:00,298.2,292.16675
2025-04-11 18:00:00-04:00,297.05,292.20477
2025-04-11 19:00:00-04:00,298.0,292.509
2025-04-14 04:00:00-04:00,306.44,292.25546
2025-04-14 05:00:00-04:00,305.07,292.28082
2025-04-14 06:00:00-04:00,306.39,292.58505
2025-04-14 07:00:00-04:00,308.2,293.1175
2025-04-14 08:00:00-04:00,310.6962,293.01605
2025-04-14 09:00:00-04:00,309.89,293.06677
2025-04-14 09:30:00-04:00,310.71,293.24423
2025-04-14 10:30:00-04:00,306.41,293.4724
2025-04-14 11:30:00-04:00,303.9242,293.34564
2025-04-14 12:30:00-04:00,306.135,293.39636
2025-04-14 13:30:00-04:00,309.2801,293.4724
2025-04-14 14:30:00-04:00,312.3605,293.85272
2025-04-14 15:30:00-04:00,311.31,294.15695
2025-04-14 16:00:00-04:00,310.55,294.15695
2025-04-14 17:00:00-04:00,309.13,294.0809
