date,actual,forecast
2025-02-25 17:00:00-05:00,93.65,93.5631
2025-02-25 18:00:00-05:00,95.12,93.5631
2025-02-26 04:00:00-05:00,95.92,93.539925
2025-02-26 05:00:00-05:00,95.41,93.72535
2025-02-26 06:00:00-05:00,95.59,93.72535
2025-02-26 07:00:00-05:00,95.48,93.771706
2025-02-26 08:00:00-05:00,96.03,93.84124
2025-02-26 09:00:00-05:00,96.01,93.910774
2025-02-26 09:30:00-05:00,96.5,93.95713
2025-02-26 10:30:00-05:00,98.5199,93.93395
2025-02-26 11:30:00-05:00,99.58,94.026665
2025-02-26 12:30:00-05:00,97.17,94.11938
2025-02-26 13:30:00-05:00,96.97,94.11938
2025-02-26 14:30:00-05:00,97.2268,94.11938
2025-02-26 15:30:00-05:00,97.73,94.142555
2025-02-26 16:00:00-05:00,98.5,94.21209
2025-02-26 17:00:00-05:00,98.22,94.18891
2025-02-26 18:00:00-05:00,98.0062,94.21209
2025-02-27 04:00:00-05:00,99.18,94.16573
2025-02-27 05:00:00-05:00,99.33,94.281624
2025-02-27 06:00:00-05:00,99.26,94.18891
2025-02-27 07:00:00-05:00,99.79,94.18891
2025-02-27 08:00:00-05:00,99.66,94.21209
2025-02-27 09:00:00-05:00,97.78,94.23527
2025-02-27 09:30:00-05:00,95.86,94.35116
2025-02-27 10:30:00-05:00,95.17,94.37434
2025-02-27 11:30:00-05:00,95.52,94.42069
2025-02-27 12:30:00-05:00,95.41,94.53658
2025-02-27 13:30:00-05:00,93.94,94.397514
2025-02-27 14:30:00-05:00,91.92,94.35116
2025-02-27 15:30:00-05:00,91.75,94.35116
2025-02-27 16:00:00-05:00,92.3787,94.32798
2025-02-27 17:00:00-05:00,92.3,94.258446
2025-02-27 18:00:00-05:00,92.68,94.16573
2025-02-28 04:00:00-05:00,92.38,94.142555
2025-02-28 05:00:00-05:00,92.1,94.18891
2025-02-28 06:00:00-05:00,92.43,94.11938
2025-02-28 07:00:00-05:00,92.08,94.04984
2025-02-28 08:00:00-05:00,91.0,93.98031
2025-02-28 09:00:00-05:00,91.02,93.98031
2025-02-28 09:30:00-05:00,93.93,93.98031
2025-02-28 10:30:00-05:00,93.29,93.887596
2025-02-28 11:30:00-05:00,94.02,93.79488
2025-02-28 12:30:00-05:00,93.01,93.86442
2025-02-28 13:30:00-05:00,92.98,93.655815
2025-02-28 14:30:00-05:00,93.2588,93.58628
2025-02-28 15:30:00-05:00,93.71,93.51675
2025-02-28 16:00:00-05:00,93.6292,93.424034
2025-02-28 17:00:00-05:00,93.83,93.37768
2025-02-28 18:00:00-05:00,94.0,93.26179
2025-03-03 04:00:00-05:00,94.65,93.21543
2025-03-03 05:00:00-05:00,94.75,93.26179
2025-03-03 06:00:00-05:00,94.97,93.1459
2025-03-03 07:00:00-05:00,95.09,92.98365
2025-03-03 08:00:00-05:00,95.3515,92.914116
2025-03-03 09:00:00-05:00,95.99,92.844574
2025-03-03 09:30:00-05:00,94.955,92.72868
2025-03-03 10:30:00-05:00,94.2157,92.63597
2025-03-03 11:30:00-05:00,94.425,92.63597
2025-03-03 12:30:00-05:00,91.9542,92.61279
2025-03-03 13:30:00-05:00,92.39,92.56644
2025-03-03 14:30:00-05:00,89.7,92.54326
2025-03-03 15:30:00-05:00,90.55,92.56644
2025-03-03 16:00:00-05:00,90.8,92.56644
2025-03-03 17:00:00-05:00,90.69,92.527885
2025-03-03 18:00:00-05:00,90.62,92.50549
2025-03-04 04:00:00-05:00,90.75,92.41593
2025-03-04 05:00:00-05:00,90.08,92.32638
2025-03-04 06:00:00-05:00,90.3,92.28159
2025-03-04 07:00:00-05:00,89.21,92.25921
2025-03-04 08:00:00-05:00,88.76,92.214424
2025-03-04 09:00:00-05:00,90.34,92.16965
2025-03-04 09:30:00-05:00,87.91,92.23682
2025-03-04 10:30:00-05:00,88.21,92.25921
2025-03-04 11:30:00-05:00,90.76,92.19204
2025-03-04 12:30:00-05:00,90.77,92.12487
2025-03-04 13:30:00-05:00,92.6197,92.14726
2025-03-04 14:30:00-05:00,93.1,92.12487
2025-03-04 15:30:00-05:00,91.25,92.10248
2025-03-04 16:00:00-05:00,92.28,92.08009
2025-03-04 17:00:00-05:00,92.15,92.03531
2025-03-04 18:00:00-05:00,92.51,92.0577
2025-03-05 04:00:00-05:00,93.33,92.08009
2025-03-05 05:00:00-05:00,92.51,92.12487
2025-03-05 06:00:00-05:00,92.67,92.10248
2025-03-05 07:00:00-05:00,92.5,92.12487
2025-03-05 08:00:00-05:00,92.45,92.14726
2025-03-05 09:00:00-05:00,92.16,92.12487
2025-03-05 09:30:00-05:00,91.8831,92.16965
2025-03-05 10:30:00-05:00,91.61,92.214424
2025-03-05 11:30:00-05:00,92.79,92.23682
2025-03-05 12:30:00-05:00,93.62,92.23682
2025-03-05 13:30:00-05:00,94.56,92.23682
2025-03-05 14:30:00-05:00,94.14,92.214424
2025-03-05 15:30:00-05:00,94.34,92.16965
2025-03-05 16:00:00-05:00,93.1885,92.214424
2025-03-05 17:00:00-05:00,93.4,92.28159
2025-03-05 18:00:00-05:00,93.4,92.303986
2025-03-06 04:00:00-05:00,92.58,92.28159
2025-03-06 05:00:00-05:00,92.26,92.303986
2025-03-06 06:00:00-05:00,92.08,92.32638
2025-03-06 07:00:00-05:00,91.41,92.32638
2025-03-06 08:00:00-05:00,91.41,92.34876
2025-03-06 09:00:00-05:00,90.77,92.34876
2025-03-06 09:30:00-05:00,92.87,92.34876
2025-03-06 10:30:00-05:00,92.06,92.39355
2025-03-06 11:30:00-05:00,90.0496,92.371155
2025-03-06 12:30:00-05:00,90.35,92.438324
2025-03-06 13:30:00-05:00,89.23,92.41593
2025-03-06 14:30:00-05:00,89.605,92.46072
2025-03-06 15:30:00-05:00,89.27,92.50549
2025-03-06 16:00:00-05:00,90.4,92.55027
2025-03-06 17:00:00-05:00,90.3,92.527885
2025-03-06 18:00:00-05:00,90.5,92.55027
2025-03-07 04:00:00-05:00,90.79,92.595055
2025-03-07 05:00:00-05:00,90.6,92.63983
2025-03-07 06:00:00-05:00,90.6,92.61744
2025-03-07 07:00:00-05:00,90.25,92.595055
2025-03-07 08:00:00-05:00,89.63,92.63983
2025-03-07 09:00:00-05:00,90.38,92.68461
2025-03-07 09:30:00-05:00,92.06,92.77417
2025-03-07 10:30:00-05:00,90.485,92.84134
2025-03-07 11:30:00-05:00,90.17,92.886116
2025-03-07 12:30:00-05:00,90.95,92.886116
2025-03-07 13:30:00-05:00,92.965,92.953285
2025-03-07 14:30:00-05:00,92.56,93.06523
2025-03-07 15:30:00-05:00,92.97,93.1324
2025-03-07 16:00:00-05:00,92.93,93.15479
