date,actual,forecast
2023-06-14 14:30:00-04:00,1.9801,1.9960349
2023-06-14 15:30:00-04:00,1.9385,2.0069165
2023-06-14 16:00:00-04:00,1.92,2.0069165
2023-06-14 17:00:00-04:00,1.95,2.0069165
2023-06-14 18:00:00-04:00,1.91,2.023239
2023-06-14 19:00:00-04:00,1.93,2.0286796
2023-06-15 04:00:00-04:00,1.86,2.050443
2023-06-15 05:00:00-04:00,1.81,2.0558836
2023-06-15 06:00:00-04:00,1.84,2.0558836
2023-06-15 07:00:00-04:00,1.85,2.072206
2023-06-15 08:00:00-04:00,1.82,2.0885284
2023-06-15 09:00:00-04:00,1.85,2.0939693
2023-06-15 09:30:00-04:00,1.855,2.09941
2023-06-15 10:30:00-04:00,1.88,2.126614
2023-06-15 11:30:00-04:00,1.919,2.1374955
2023-06-15 12:30:00-04:00,1.925,2.1483774
2023-06-15 13:30:00-04:00,1.995,2.1320548
2023-06-15 14:30:00-04:00,2.0201,2.1429365
2023-06-15 15:30:00-04:00,2.0,2.1592588
2023-06-15 16:00:00-04:00,1.97,2.1646996
2023-06-15 17:00:00-04:00,2.0,2.1592588
2023-06-15 18:00:00-04:00,1.99,2.1755815
2023-06-15 19:00:00-04:00,1.97,2.213667
2023-06-16 04:00:00-04:00,1.98,2.2299893
2023-06-16 05:00:00-04:00,2.01,2.2245486
2023-06-16 06:00:00-04:00,1.96,2.2463117
2023-06-16 07:00:00-04:00,1.96,2.268075
2023-06-16 08:00:00-04:00,1.98,2.2898383
2023-06-16 09:00:00-04:00,2.01,2.2898383
2023-06-16 09:30:00-04:00,1.975,2.2789564
2023-06-16 10:30:00-04:00,1.89,2.2843974
2023-06-16 11:30:00-04:00,1.9515,2.295279
2023-06-16 12:30:00-04:00,1.945,2.295279
2023-06-16 13:30:00-04:00,1.93,2.295279
2023-06-16 14:30:00-04:00,1.9793,2.3061604
2023-06-16 15:30:00-04:00,1.9,2.322483
2023-06-16 16:00:00-04:00,1.9088,2.3279238
2023-06-16 17:00:00-04:00,1.91,2.3279238
2023-06-16 18:00:00-04:00,1.89,2.3333645
2023-06-16 19:00:00-04:00,1.88,2.3605685
2023-06-20 04:00:00-04:00,1.88,2.3660092
2023-06-20 05:00:00-04:00,1.88,2.3660092
2023-06-20 06:00:00-04:00,1.92,2.3660092
2023-06-20 07:00:00-04:00,1.92,2.3714502
2023-06-20 08:00:00-04:00,1.9,2.3768911
2023-06-20 09:00:00-04:00,1.9,2.3823318
2023-06-20 09:30:00-04:00,1.8685,2.3768911
2023-06-20 10:30:00-04:00,1.8115,2.3932133
2023-06-20 11:30:00-04:00,1.7185,2.4040952
2023-06-20 12:30:00-04:00,1.7301,2.4149766
2023-06-20 13:30:00-04:00,1.78,2.4149766
2023-06-20 14:30:00-04:00,1.82,2.4204173
2023-06-20 15:30:00-04:00,1.85,2.4258583
2023-06-20 16:00:00-04:00,1.82,2.4530623
2023-06-20 17:00:00-04:00,1.8,2.4748254
2023-06-20 18:00:00-04:00,1.8,2.4693847
2023-06-20 19:00:00-04:00,1.8,2.4693847
2023-06-21 04:00:00-04:00,1.76,2.4693847
2023-06-21 05:00:00-04:00,1.77,2.4748254
2023-06-21 06:00:00-04:00,1.74,2.4693847
2023-06-21 07:00:00-04:00,1.77,2.480266
2023-06-21 08:00:00-04:00,1.83,2.4965887
2023-06-21 09:00:00-04:00,1.78,2.485707
2023-06-21 09:30:00-04:00,1.7015,2.480266
2023-06-21 10:30:00-04:00,1.6485,2.4752254
