date,actual,forecast
2023-06-06 14:30:00-04:00,1.135,1.1646659
2023-06-06 15:30:00-04:00,1.115,1.1679734
2023-06-06 16:00:00-04:00,1.09,1.1613584
2023-06-06 17:00:00-04:00,1.1195,1.1745884
2023-06-06 18:00:00-04:00,1.12,1.184511
2023-06-06 19:00:00-04:00,1.1499,1.1911261
2023-06-07 04:00:00-04:00,1.13,1.1977412
2023-06-07 05:00:00-04:00,1.18,1.2076638
2023-06-07 06:00:00-04:00,1.14,1.2242013
2023-06-07 07:00:00-04:00,1.12,1.2308164
2023-06-07 08:00:00-04:00,1.0785,1.2275088
2023-06-07 09:00:00-04:00,1.16,1.2374314
2023-06-07 09:30:00-04:00,1.0399,1.2407389
2023-06-07 10:30:00-04:00,1.05,1.234124
2023-06-07 11:30:00-04:00,1.0306,1.2175863
2023-06-07 12:30:00-04:00,1.0281,1.2175863
2023-06-07 13:30:00-04:00,1.056,1.2242013
2023-06-07 14:30:00-04:00,1.025,1.2275088
2023-06-07 15:30:00-04:00,1.0301,1.2208939
2023-06-07 16:00:00-04:00,1.06,1.2275088
2023-06-07 17:00:00-04:00,1.05,1.247354
2023-06-07 18:00:00-04:00,1.04,1.2638916
2023-06-07 19:00:00-04:00,1.07,1.2738142
2023-06-08 04:00:00-04:00,1.08,1.2804291
2023-06-08 05:00:00-04:00,1.09,1.3002744
2023-06-08 06:00:00-04:00,1.09,1.3135045
2023-06-08 07:00:00-04:00,1.05,1.3101969
2023-06-08 08:00:00-04:00,1.07,1.323427
2023-06-08 09:00:00-04:00,1.0506,1.336657
2023-06-08 09:30:00-04:00,1.1185,1.3465797
2023-06-08 10:30:00-04:00,1.275,1.3465797
2023-06-08 11:30:00-04:00,1.2785,1.3432722
2023-06-08 12:30:00-04:00,1.45,1.3664248
2023-06-08 13:30:00-04:00,1.4501,1.3796549
2023-06-08 14:30:00-04:00,1.3921,1.3796549
2023-06-08 15:30:00-04:00,1.3799,1.392885
2023-06-08 16:00:00-04:00,1.35,1.4127302
2023-06-08 17:00:00-04:00,1.33,1.4292678
2023-06-08 18:00:00-04:00,1.33,1.4358828
2023-06-08 19:00:00-04:00,1.27,1.4524205
2023-06-09 04:00:00-04:00,1.38,1.4755731
2023-06-09 05:00:00-04:00,1.38,1.4821881
2023-06-09 06:00:00-04:00,1.45,1.4888031
2023-06-09 07:00:00-04:00,1.39,1.5020332
2023-06-09 08:00:00-04:00,1.4085,1.5086483
2023-06-09 09:00:00-04:00,1.61,1.5086483
2023-06-09 09:30:00-04:00,1.42,1.5020332
2023-06-09 10:30:00-04:00,1.31,1.5020332
2023-06-09 11:30:00-04:00,1.315,1.4954182
2023-06-09 12:30:00-04:00,1.32,1.4888031
2023-06-09 13:30:00-04:00,1.295,1.4821881
2023-06-09 14:30:00-04:00,1.29,1.4821881
2023-06-09 15:30:00-04:00,1.33,1.4821881
2023-06-09 16:00:00-04:00,1.3392,1.4755731
2023-06-09 17:00:00-04:00,1.35,1.468958
2023-06-09 18:00:00-04:00,1.35,1.468958
2023-06-09 19:00:00-04:00,1.33,1.4821881
2023-06-12 04:00:00-04:00,1.36,1.4954182
2023-06-12 05:00:00-04:00,1.36,1.4954182
2023-06-12 06:00:00-04:00,1.38,1.5086483
2023-06-12 07:00:00-04:00,1.38,1.5284934
2023-06-12 08:00:00-04:00,1.45,1.5351086
2023-06-12 09:00:00-04:00,1.4585,1.5351086
2023-06-12 09:30:00-04:00,1.3288,1.5417235
2023-06-12 10:30:00-04:00,1.2299,1.5453923
2023-06-12 11:30:00-04:00,1.275,1.550266
2023-06-12 12:30:00-04:00,1.29,1.550266
2023-06-12 13:30:00-04:00,1.26,1.55514
2023-06-12 14:30:00-04:00,1.265,1.550266
2023-06-12 15:30:00-04:00,1.245,1.5453923
2023-06-12 16:00:00-04:00,1.29,1.5405183
2023-06-12 17:00:00-04:00,1.29,1.5356445
2023-06-12 18:00:00-04:00,1.25,1.5405183
2023-06-12 19:00:00-04:00,1.24,1.5405183
2023-06-13 04:00:00-04:00,1.29,1.5356445
2023-06-13 05:00:00-04:00,1.25,1.5405183
2023-06-13 06:00:00-04:00,1.25,1.5356445
2023-06-13 07:00:00-04:00,1.26,1.5356445
2023-06-13 08:00:00-04:00,1.26,1.5307705
2023-06-13 09:00:00-04:00,1.32,1.5258968
2023-06-13 09:30:00-04:00,1.2111,1.5307705
2023-06-13 10:30:00-04:00,1.25,1.5210228
2023-06-13 11:30:00-04:00,1.2515,1.516149
2023-06-13 12:30:00-04:00,1.3193,1.511275
2023-06-13 13:30:00-04:00,1.27,1.5064013
2023-06-13 14:30:00-04:00,1.2912,1.5064013
2023-06-13 15:30:00-04:00,1.31,1.5015273
2023-06-13 16:00:00-04:00,1.31,1.4966536
2023-06-13 17:00:00-04:00,1.29,1.4966536
2023-06-13 18:00:00-04:00,1.33,1.4966536
2023-06-13 19:00:00-04:00,1.33,1.4869058
2023-06-14 04:00:00-04:00,1.32,1.482032
2023-06-14 05:00:00-04:00,1.31,1.482032
2023-06-14 06:00:00-04:00,1.34,1.4771581
2023-06-14 07:00:00-04:00,1.32,1.4771581
2023-06-14 08:00:00-04:00,1.33,1.4674103
2023-06-14 09:00:00-04:00,1.33,1.4674103
2023-06-14 09:30:00-04:00,1.2515,1.4576626
2023-06-14 10:30:00-04:00,1.195,1.4527887
2023-06-14 11:30:00-04:00,1.235,1.4479148
2023-06-14 12:30:00-04:00,1.205,1.4479148
2023-06-14 13:30:00-04:00,1.175,1.4479148
2023-06-14 14:30:00-04:00,1.2104,1.443041
2023-06-14 15:30:00-04:00,1.2101,1.4381671
2023-06-14 16:00:00-04:00,1.24,1.4381671
2023-06-14 17:00:00-04:00,1.22,1.4332932
2023-06-14 18:00:00-04:00,1.23,1.4284194
2023-06-14 19:00:00-04:00,1.22,1.4235455
2023-06-15 04:00:00-04:00,1.24,1.4186716
2023-06-15 05:00:00-04:00,1.21,1.4186716
2023-06-15 06:00:00-04:00,1.22,1.4137979
2023-06-15 07:00:00-04:00,1.17,1.4137979
2023-06-15 08:00:00-04:00,1.18,1.4089239
2023-06-15 09:00:00-04:00,1.1795,1.4040501
2023-06-15 09:30:00-04:00,1.2,1.4040501
2023-06-15 10:30:00-04:00,1.19,1.4040501
2023-06-15 11:30:00-04:00,1.185,1.4040501
2023-06-15 12:30:00-04:00,1.1908,1.3943024
2023-06-15 13:30:00-04:00,1.2199,1.3894284
2023-06-15 14:30:00-04:00,1.215,1.3845546
2023-06-15 15:30:00-04:00,1.23,1.3845546
2023-06-15 16:00:00-04:00,1.23,1.3845546
2023-06-15 17:00:00-04:00,1.22,1.3796806
2023-06-15 18:00:00-04:00,1.24,1.3796806
2023-06-15 19:00:00-04:00,1.24,1.3796806
2023-06-16 04:00:00-04:00,1.2,1.3894284
2023-06-16 05:00:00-04:00,1.23,1.3845546
2023-06-16 06:00:00-04:00,1.24,1.3894284
