date,actual,forecast
2024-08-06 09:00:00-04:00,144.0,144.06447
2024-08-06 09:30:00-04:00,142.615,143.94434
2024-08-06 10:30:00-04:00,142.14,143.77803
2024-08-06 11:30:00-04:00,143.45,143.82506
2024-08-06 12:30:00-04:00,143.62,143.72586
2024-08-06 13:30:00-04:00,144.2,143.75922
2024-08-06 14:30:00-04:00,143.2,143.61386
2024-08-06 15:30:00-04:00,142.97,143.66345
2024-08-06 16:00:00-04:00,142.85,143.46507
2024-08-06 17:00:00-04:00,143.01,143.2804
2024-08-06 18:00:00-04:00,143.0,142.92126
2024-08-06 19:00:00-04:00,146.68,142.70921
2024-08-07 05:00:00-04:00,145.41,142.51768
2024-08-07 08:00:00-04:00,146.67,142.57925
2024-08-07 09:00:00-04:00,144.99,142.38087
2024-08-07 09:30:00-04:00,141.89,142.28511
2024-08-07 10:30:00-04:00,143.11,142.00467
2024-08-07 11:30:00-04:00,142.22,142.07306
2024-08-07 12:30:00-04:00,140.915,142.22356
2024-08-07 13:30:00-04:00,140.42,142.57925
2024-08-07 14:30:00-04:00,141.32,142.53821
2024-08-07 15:30:00-04:00,140.06,142.55873
2024-08-07 16:00:00-04:00,131.0,142.49716
2024-08-07 17:00:00-04:00,127.99,142.95547
2024-08-07 18:00:00-04:00,126.51,142.94862
2024-08-07 19:00:00-04:00,125.99,143.09229
2024-08-08 06:00:00-04:00,127.93,143.08543
2024-08-08 07:00:00-04:00,130.0,143.1812
2024-08-08 08:00:00-04:00,133.0,143.0786
2024-08-08 09:00:00-04:00,134.71,143.21541
2024-08-08 09:30:00-04:00,133.065,143.19489
2024-08-08 10:30:00-04:00,134.01,143.2496
2024-08-08 11:30:00-04:00,134.26,143.16068
2024-08-08 12:30:00-04:00,135.27,143.0102
2024-08-08 13:30:00-04:00,135.06,142.66133
2024-08-08 14:30:00-04:00,135.73,142.32616
2024-08-08 15:30:00-04:00,136.41,142.05939
2024-08-08 16:00:00-04:00,136.4,142.1141
2024-08-08 17:00:00-04:00,136.0,141.9773
2024-08-08 18:00:00-04:00,136.1,141.93626
2024-08-08 19:00:00-04:00,138.0,141.7584
2024-08-09 04:00:00-04:00,136.21,141.86786
2024-08-09 08:00:00-04:00,131.0,141.96362
2024-08-09 09:30:00-04:00,130.14,142.12779
2024-08-09 10:30:00-04:00,127.275,142.08675
2024-08-09 11:30:00-04:00,125.43,142.14146
2024-08-09 12:30:00-04:00,125.58,142.20987
2024-08-09 13:30:00-04:00,124.75,142.61345
2024-08-09 14:30:00-04:00,125.02,142.37404
2024-08-09 15:30:00-04:00,125.35,142.2988
2024-08-09 16:00:00-04:00,129.0,142.16882
2024-08-09 17:00:00-04:00,127.0,142.29196
2024-08-09 18:00:00-04:00,127.99,142.20987
2024-08-09 19:00:00-04:00,127.01,142.34668
2024-08-12 07:00:00-04:00,126.35,142.333
2024-08-12 08:00:00-04:00,126.0,142.42876
2024-08-12 09:00:00-04:00,127.0,142.27827
2024-08-12 09:30:00-04:00,126.72,142.15515
2024-08-12 10:30:00-04:00,126.115,141.82681
2024-08-12 11:30:00-04:00,126.65,141.69
2024-08-12 12:30:00-04:00,127.905,141.60793
2024-08-12 13:30:00-04:00,127.26,141.64896
2024-08-12 14:30:00-04:00,128.29,141.56688
2024-08-12 15:30:00-04:00,128.76,141.38902
2024-08-12 16:00:00-04:00,128.65,141.1656
2024-08-12 17:00:00-04:00,128.5,141.10107
2024-08-13 08:00:00-04:00,129.3,141.07526
2024-08-13 09:30:00-04:00,131.84,141.28177
2024-08-13 10:30:00-04:00,131.82,141.39792
2024-08-13 11:30:00-04:00,131.32,141.3592
2024-08-13 12:30:00-04:00,131.77,141.5528
2024-08-13 13:30:00-04:00,132.03,141.73349
2024-08-13 14:30:00-04:00,132.772,141.72058
2024-08-13 15:30:00-04:00,133.35,141.83675
2024-08-13 16:00:00-04:00,133.46,141.86255
2024-08-13 17:00:00-04:00,133.0,141.99162
2024-08-13 19:00:00-04:00,131.08,142.05615
2024-08-14 06:00:00-04:00,136.74,141.9658
2024-08-14 07:00:00-04:00,134.25,141.9658
2024-08-14 09:00:00-04:00,133.46,142.04324
2024-08-14 09:30:00-04:00,131.49,141.86255
2024-08-14 10:30:00-04:00,132.27,141.73349
2024-08-14 11:30:00-04:00,130.96,141.63023
2024-08-14 12:30:00-04:00,131.56,141.41083
2024-08-14 13:30:00-04:00,132.01,141.25595
2024-08-14 14:30:00-04:00,132.04,141.17851
2024-08-14 15:30:00-04:00,133.11,141.17851
2024-08-14 16:00:00-04:00,133.08,140.9462
2024-08-15 08:00:00-04:00,133.53,140.85585
2024-08-15 09:00:00-04:00,133.52,140.80423
2024-08-15 09:30:00-04:00,134.6,140.83005
2024-08-15 10:30:00-04:00,134.11,141.11398
2024-08-15 11:30:00-04:00,135.58,141.24304
2024-08-15 12:30:00-04:00,135.035,141.21724
2024-08-15 13:30:00-04:00,132.29,141.32048
2024-08-15 14:30:00-04:00,133.245,141.63023
2024-08-15 15:30:00-04:00,133.42,141.63023
2024-08-15 16:00:00-04:00,133.34,141.69476
2024-08-15 17:00:00-04:00,135.08,141.64314
2024-08-15 18:00:00-04:00,134.1824,141.68187
2024-08-15 19:00:00-04:00,134.19,141.75931
2024-08-16 08:00:00-04:00,133.995,141.66896
2024-08-16 09:00:00-04:00,133.45,141.59152
2024-08-16 09:30:00-04:00,133.44,141.53989
2024-08-16 10:30:00-04:00,132.39,141.38501
2024-08-16 11:30:00-04:00,133.605,141.23013
2024-08-16 12:30:00-04:00,134.34,141.17851
2024-08-16 13:30:00-04:00,134.38,141.17851
2024-08-16 14:30:00-04:00,133.815,141.01073
2024-08-16 15:30:00-04:00,133.47,140.84294
