date,actual,forecast
2024-05-06 16:00:00-04:00,184.46,184.58003
2024-05-06 17:00:00-04:00,184.6,184.67271
2024-05-06 18:00:00-04:00,184.72,184.58003
2024-05-06 19:00:00-04:00,184.45,184.76541
2024-05-07 04:00:00-04:00,183.96,185.13614
2024-05-07 05:00:00-04:00,181.82,185.69226
2024-05-07 06:00:00-04:00,181.19,185.69226
2024-05-07 07:00:00-04:00,182.19,185.22884
2024-05-07 08:00:00-04:00,181.25,185.22884
2024-05-07 09:00:00-04:00,182.54,185.32152
2024-05-07 09:30:00-04:00,179.165,184.95078
2024-05-07 10:30:00-04:00,179.5099,184.8581
2024-05-07 11:30:00-04:00,179.695,184.76541
2024-05-07 12:30:00-04:00,179.4,184.8581
2024-05-07 13:30:00-04:00,178.14,184.58003
2024-05-07 14:30:00-04:00,178.1424,184.20929
2024-05-07 15:30:00-04:00,177.81,183.65318
2024-05-07 16:00:00-04:00,177.62,183.37512
2024-05-07 17:00:00-04:00,177.2199,183.46782
2024-05-07 18:00:00-04:00,177.29,183.28244
2024-05-07 19:00:00-04:00,176.7999,183.09708
2024-05-08 04:00:00-04:00,176.58,182.9117
2024-05-08 05:00:00-04:00,176.92,182.9117
2024-05-08 06:00:00-04:00,176.5,183.0044
2024-05-08 07:00:00-04:00,175.22,182.54095
2024-05-08 08:00:00-04:00,171.975,182.35559
2024-05-08 09:00:00-04:00,171.68,182.26291
2024-05-08 09:30:00-04:00,174.0901,182.26291
2024-05-08 10:30:00-04:00,174.9712,181.89217
2024-05-08 11:30:00-04:00,174.28,181.70679
2024-05-08 12:30:00-04:00,174.4784,181.70679
2024-05-08 13:30:00-04:00,174.912,181.89217
2024-05-08 14:30:00-04:00,174.7301,181.6141
2024-05-08 15:30:00-04:00,174.78,181.10434
2024-05-08 16:00:00-04:00,174.18,180.68726
2024-05-08 17:00:00-04:00,174.03,181.2897
2024-05-08 18:00:00-04:00,174.24,181.52142
2024-05-08 19:00:00-04:00,174.32,181.6141
2024-05-09 04:00:00-04:00,173.27,181.79948
