date,actual,forecast
2023-09-05 19:00:00-04:00,14.07,14.173057
2023-09-06 07:00:00-04:00,14.17,14.174367
2023-09-06 08:00:00-04:00,14.16,14.174367
2023-09-06 09:00:00-04:00,14.16,14.178296
2023-09-06 09:30:00-04:00,14.02,14.182225
2023-09-06 10:30:00-04:00,14.16,14.178951
2023-09-06 11:30:00-04:00,14.28,14.176987
2023-09-06 12:30:00-04:00,14.445,14.182225
2023-09-06 13:30:00-04:00,14.6099,14.197943
2023-09-06 14:30:00-04:00,14.74,14.18419
2023-09-06 15:30:00-04:00,14.63,14.193358
2023-09-06 16:00:00-04:00,14.63,14.194668
2023-09-06 17:00:00-04:00,14.86,14.196633
2023-09-06 18:00:00-04:00,14.81,14.196633
2023-09-06 19:00:00-04:00,14.85,14.202527
2023-09-07 04:00:00-04:00,14.5,14.205801
2023-09-07 08:00:00-04:00,14.94,14.206456
2023-09-07 09:00:00-04:00,14.5,14.192049
2023-09-07 09:30:00-04:00,14.55,14.1855
2023-09-07 10:30:00-04:00,14.81,14.190739
2023-09-07 11:30:00-04:00,14.68,14.195323
2023-09-07 12:30:00-04:00,14.51,14.21235
2023-09-07 13:30:00-04:00,14.51,14.210385
2023-09-07 14:30:00-04:00,14.73,14.2005625
2023-09-07 15:30:00-04:00,14.61,14.226103
2023-09-07 16:00:00-04:00,14.61,14.224793
2023-09-07 17:00:00-04:00,14.61,14.235599
2023-09-07 18:00:00-04:00,14.47,14.249679
2023-09-07 19:00:00-04:00,14.48,14.250334
2023-09-08 08:00:00-04:00,14.9,14.258847
2023-09-08 09:00:00-04:00,14.9,14.259174
2023-09-08 09:30:00-04:00,15.36,14.265723
2023-09-08 10:30:00-04:00,15.455,14.286516
2023-09-08 11:30:00-04:00,15.79,14.28668
2023-09-08 12:30:00-04:00,15.8,14.296503
2023-09-08 13:30:00-04:00,16.09,14.290445
2023-09-08 14:30:00-04:00,15.86,14.298959
2023-09-08 15:30:00-04:00,15.91,14.293392
2023-09-08 16:00:00-04:00,16.01,14.295357
2023-09-08 17:00:00-04:00,16.0088,14.293065
2023-09-08 18:00:00-04:00,16.0,14.298959
2023-09-08 19:00:00-04:00,16.08,14.288645
2023-09-11 04:00:00-04:00,16.2,14.27964
2023-09-11 05:00:00-04:00,16.33,14.2840605
2023-09-11 06:00:00-04:00,16.5,14.278167
2023-09-11 07:00:00-04:00,16.5,14.287334
2023-09-11 08:00:00-04:00,16.55,14.283078
2023-09-11 09:00:00-04:00,16.55,14.270963
2023-09-11 09:30:00-04:00,15.64,14.281768
2023-09-11 10:30:00-04:00,15.77,14.261467
2023-09-11 11:30:00-04:00,15.6,14.258192
2023-09-11 12:30:00-04:00,15.62,14.251971
2023-09-11 13:30:00-04:00,15.72,14.246077
2023-09-11 14:30:00-04:00,15.83,14.247387
2023-09-11 15:30:00-04:00,15.79,14.242147
2023-09-11 16:00:00-04:00,15.79,14.241492
2023-09-11 17:00:00-04:00,15.63,14.246732
2023-09-11 18:00:00-04:00,15.6675,14.24444
2023-09-11 19:00:00-04:00,15.94,14.251316
2023-09-12 07:00:00-04:00,15.56,14.249679
2023-09-12 08:00:00-04:00,15.5762,14.2598295
2023-09-12 09:00:00-04:00,16.12,14.264087
2023-09-12 09:30:00-04:00,15.51,14.270963
2023-09-12 10:30:00-04:00,15.485,14.264087
2023-09-12 11:30:00-04:00,15.37,14.269231
2023-09-12 12:30:00-04:00,15.35,14.256561
2023-09-12 13:30:00-04:00,15.195,14.254707
2023-09-12 14:30:00-04:00,15.115,14.259342
2023-09-12 15:30:00-04:00,15.19,14.265523
2023-09-12 16:00:00-04:00,15.07,14.261197
2023-09-12 17:00:00-04:00,15.42,14.260578
2023-09-12 18:00:00-04:00,15.18,14.256252
2023-09-12 19:00:00-04:00,15.19,14.254707
2023-09-13 06:00:00-04:00,14.72,14.251926
2023-09-13 07:00:00-04:00,15.18,14.257179
2023-09-13 08:00:00-04:00,15.02,14.251617
2023-09-13 09:00:00-04:00,15.0015,14.255943
2023-09-13 09:30:00-04:00,15.58,14.253162
2023-09-13 10:30:00-04:00,15.4,14.254398
2023-09-13 11:30:00-04:00,15.26,14.250381
2023-09-13 12:30:00-04:00,15.325,14.255325
2023-09-13 13:30:00-04:00,15.275,14.252853
2023-09-13 14:30:00-04:00,15.25,14.25687
2023-09-13 15:30:00-04:00,15.15,14.256561
2023-09-13 16:00:00-04:00,15.12,14.261506
2023-09-13 17:00:00-04:00,15.34,14.260269
2023-09-13 18:00:00-04:00,15.0,14.26336
2023-09-13 19:00:00-04:00,15.15,14.263051
2023-09-14 07:00:00-04:00,15.16,14.267068
2023-09-14 08:00:00-04:00,15.16,14.259651
2023-09-14 09:30:00-04:00,15.1189,14.26336
2023-09-14 10:30:00-04:00,15.185,14.264596
2023-09-14 11:30:00-04:00,15.12,14.270621
2023-09-14 12:30:00-04:00,15.215,14.265214
2023-09-14 13:30:00-04:00,15.11,14.263669
2023-09-14 14:30:00-04:00,15.04,14.263051
2023-09-14 15:30:00-04:00,15.01,14.266759
2023-09-14 16:00:00-04:00,15.18,14.262433
2023-09-14 17:00:00-04:00,15.17,14.265832
2023-09-14 18:00:00-04:00,14.91,14.262124
2023-09-14 19:00:00-04:00,15.16,14.26645
2023-09-15 07:00:00-04:00,15.0,14.262433
2023-09-15 08:00:00-04:00,15.17,14.26336
2023-09-15 09:00:00-04:00,15.276,14.258106
2023-09-15 09:30:00-04:00,14.94,14.260578
2023-09-15 10:30:00-04:00,15.1,14.254398
2023-09-15 11:30:00-04:00,15.075,14.256561
2023-09-15 12:30:00-04:00,15.135,14.254089
2023-09-15 13:30:00-04:00,15.23,14.258724
2023-09-15 14:30:00-04:00,14.745,14.25687
2023-09-15 15:30:00-04:00,14.74,14.25378
2023-09-15 16:00:00-04:00,14.76,14.255943
2023-09-15 17:00:00-04:00,14.77,14.266759
2023-09-15 18:00:00-04:00,14.55,14.259033
2023-09-15 19:00:00-04:00,14.76,14.261815
2023-09-18 07:00:00-04:00,14.78,14.264596
2023-09-18 08:00:00-04:00,14.75,14.274948
2023-09-18 09:00:00-04:00,14.81,14.267068
2023-09-18 09:30:00-04:00,13.58,14.267377
2023-09-18 10:30:00-04:00,13.765,14.26954
2023-09-18 11:30:00-04:00,13.94,14.271548
2023-09-18 12:30:00-04:00,14.01,14.267222
2023-09-18 13:30:00-04:00,13.95,14.271703
2023-09-18 14:30:00-04:00,13.9,14.268304
2023-09-18 15:30:00-04:00,13.82,14.268767
2023-09-18 16:00:00-04:00,14.05,14.264905
2023-09-18 17:00:00-04:00,13.85,14.267377
2023-09-18 18:00:00-04:00,13.6,14.26645
