date,actual,chronos_forecast,arima_forecast,random_walk_forecast
2025-01-30 04:40:00-05:00,346.2,345.98514,345.432736015634,346.2
2025-01-30 04:45:00-05:00,346.25,345.89062,345.64789401026985,346.2
2025-01-30 04:50:00-05:00,346.38,345.79614,346.0125908110073,346.2
2025-01-30 04:55:00-05:00,346.65,345.6544,344.8199840578045,346.2
2025-01-30 05:00:00-05:00,345.23,345.4654,344.8361982207082,346.2
2025-01-30 05:05:00-05:00,345.05,345.3709,344.3444931443431,346.2
2025-01-30 05:10:00-05:00,344.96,345.18192,344.425523474613,346.2
2025-01-30 05:15:00-05:00,343.95,345.08743,344.36915343463374,346.2
2025-01-30 05:20:00-05:00,344.0,344.94568,343.6065114212416,346.2
2025-01-30 05:25:00-05:00,343.91,344.8512,343.1631216691507,346.2
2025-01-30 05:30:00-05:00,344.14,344.89844,342.7760072055344,346.2
2025-01-30 05:35:00-05:00,344.0,344.80392,342.5094741045658,346.2
2025-01-30 05:40:00-05:00,344.09,344.61493,342.49281353066806,346.2
2025-01-30 05:45:00-05:00,344.75,344.54407,342.26173449267253,346.2
2025-01-30 05:50:00-05:00,344.71,344.4023,341.83810794733813,346.2
2025-01-30 05:55:00-05:00,345.1,344.2842,341.83891620841905,346.2
2025-01-30 06:00:00-05:00,345.14,344.2842,341.76918161348806,346.2
2025-01-30 06:05:00-05:00,344.47,344.1897,341.7012155802457,346.2
2025-01-30 06:10:00-05:00,344.44,344.1897,341.80514989363047,346.2
2025-01-30 06:15:00-05:00,344.2,344.16608,341.8022635638838,346.2
