date,actual,forecast
2025-04-15 10:25:00-04:00,311.0371,311.0451
2025-04-15 10:30:00-04:00,313.0083,311.09854
2025-04-15 10:35:00-04:00,311.5,311.2054
2025-04-15 10:40:00-04:00,313.08,311.47253
2025-04-15 10:45:00-04:00,311.6,311.47253
2025-04-15 10:50:00-04:00,311.4334,311.52597
2025-04-15 10:55:00-04:00,310.75,311.52597
2025-04-15 11:00:00-04:00,311.7875,311.6328
2025-04-15 11:05:00-04:00,311.405,311.52597
2025-04-15 11:10:00-04:00,312.5,311.5794
2025-04-15 11:15:00-04:00,312.96,311.47253
2025-04-15 11:20:00-04:00,313.785,311.52597
2025-04-15 11:25:00-04:00,311.795,311.52597
2025-04-15 11:30:00-04:00,312.3,311.6328
2025-04-15 11:35:00-04:00,311.5239,311.6328
2025-04-15 11:40:00-04:00,310.79,311.6328
2025-04-15 11:45:00-04:00,309.825,311.52597
2025-04-15 11:50:00-04:00,310.23,311.68625
2025-04-15 11:55:00-04:00,309.655,311.9534
2025-04-15 12:00:00-04:00,311.155,312.5945
2025-04-15 12:05:00-04:00,311.37,312.9151
2025-04-15 12:10:00-04:00,311.04,312.9151
2025-04-15 12:15:00-04:00,312.08,312.9151
2025-04-15 12:20:00-04:00,312.18,313.02194
2025-04-15 12:25:00-04:00,312.2813,313.12878
2025-04-15 12:30:00-04:00,312.3,313.3425
2025-04-15 12:35:00-04:00,312.0,313.5562
2025-04-15 12:40:00-04:00,313.5027,313.98364
2025-04-15 12:45:00-04:00,313.13,313.98364
2025-04-15 12:50:00-04:00,311.94,314.09048
2025-04-15 12:55:00-04:00,310.83,314.09048
2025-04-15 13:00:00-04:00,311.99,314.3042
2025-04-15 13:05:00-04:00,311.55,314.09048
2025-04-15 13:10:00-04:00,312.61,314.19736
2025-04-15 13:15:00-04:00,311.73,314.3042
2025-04-15 13:20:00-04:00,311.21,314.62476
2025-04-15 13:25:00-04:00,311.15,314.62476
2025-04-15 13:30:00-04:00,311.3795,314.73163
2025-04-15 13:35:00-04:00,312.27,314.94534
2025-04-15 13:40:00-04:00,311.5356,315.15906
2025-04-15 13:45:00-04:00,311.82,315.2659
2025-04-15 13:50:00-04:00,310.55,315.4796
2025-04-15 13:55:00-04:00,310.505,315.80017
2025-04-15 14:00:00-04:00,310.135,316.33444
2025-04-15 14:05:00-04:00,310.225,316.4413
2025-04-15 14:10:00-04:00,309.56,316.2276
2025-04-15 14:15:00-04:00,307.03,316.12073
2025-04-15 14:20:00-04:00,307.385,316.0139
2025-04-15 14:25:00-04:00,307.38,315.90704
2025-04-15 14:30:00-04:00,308.28,315.80017
2025-04-15 14:35:00-04:00,308.65,315.80017
2025-04-15 14:40:00-04:00,309.65,316.0139
2025-04-15 14:45:00-04:00,308.9352,315.69333
2025-04-15 14:50:00-04:00,308.33,315.58646
2025-04-15 14:55:00-04:00,308.45,315.58646
2025-04-15 15:00:00-04:00,308.59,315.69333
2025-04-15 15:05:00-04:00,308.385,315.58646
2025-04-15 15:10:00-04:00,309.02,315.2659
2025-04-15 15:15:00-04:00,309.65,315.0522
2025-04-15 15:20:00-04:00,308.355,315.0522
2025-04-15 15:25:00-04:00,307.77,314.83847
2025-04-15 15:30:00-04:00,308.15,314.73163
2025-04-15 15:35:00-04:00,308.46,314.5179
2025-04-15 15:45:00-04:00,309.62,314.3042
2025-04-15 15:50:00-04:00,311.05,313.76425
2025-04-15 15:55:00-04:00,310.69,313.65698
2025-04-15 16:00:00-04:00,310.88,313.71063
2025-04-15 16:05:00-04:00,310.72,313.87152
2025-04-15 16:10:00-04:00,310.7201,313.87152
2025-04-15 16:15:00-04:00,310.26,313.71063
2025-04-15 16:20:00-04:00,310.0101,313.65698
2025-04-15 16:25:00-04:00,309.215,313.71063
2025-04-15 16:30:00-04:00,310.72,313.71063
2025-04-15 16:35:00-04:00,310.18,313.65698
2025-04-15 16:40:00-04:00,309.9,313.71063
2025-04-15 16:45:00-04:00,309.63,313.81787
2025-04-15 16:50:00-04:00,309.08,313.92514
2025-04-15 16:55:00-04:00,309.81,313.81787
2025-04-15 17:00:00-04:00,310.12,313.81787
2025-04-15 17:05:00-04:00,309.8,313.9788
2025-04-15 17:10:00-04:00,309.7802,313.81787
2025-04-15 17:15:00-04:00,310.0,313.76425
2025-04-15 17:20:00-04:00,309.6,313.81787
2025-04-15 17:25:00-04:00,309.45,313.87152
2025-04-15 17:30:00-04:00,310.1,313.92514
2025-04-15 17:35:00-04:00,309.63,313.9788
2025-04-15 17:40:00-04:00,309.0,313.9788
2025-04-15 17:45:00-04:00,308.71,313.9788
2025-04-15 17:50:00-04:00,307.29,313.92514
2025-04-15 17:55:00-04:00,306.8,313.81787
2025-04-15 18:00:00-04:00,306.01,313.81787
2025-04-15 18:05:00-04:00,306.56,314.0324
2025-04-15 18:10:00-04:00,306.0,314.0324
2025-04-15 18:15:00-04:00,305.271,313.87152
2025-04-15 18:20:00-04:00,304.4611,313.81787
2025-04-15 18:25:00-04:00,305.01,313.92514
2025-04-15 18:30:00-04:00,305.5,313.76425
2025-04-15 18:35:00-04:00,306.1,313.65698
2025-04-15 18:40:00-04:00,306.2,313.71063
2025-04-15 18:45:00-04:00,305.4,313.81787
2025-04-15 18:50:00-04:00,304.9,313.87152
2025-04-15 18:55:00-04:00,304.49,313.76425
2025-04-15 19:00:00-04:00,304.3,313.60336
2025-04-15 19:05:00-04:00,304.02,313.54974
2025-04-15 19:10:00-04:00,304.05,313.38882
2025-04-15 19:15:00-04:00,304.05,313.3352
2025-04-15 19:20:00-04:00,304.7755,313.38882
2025-04-15 19:25:00-04:00,304.69,313.44247
2025-04-15 19:30:00-04:00,303.8,313.4961
2025-04-15 19:35:00-04:00,303.52,313.44247
2025-04-15 19:40:00-04:00,303.5,313.38882
2025-04-15 19:45:00-04:00,303.69,313.3352
2025-04-15 19:50:00-04:00,303.51,313.22794
2025-04-15 19:55:00-04:00,303.05,313.22794
2025-04-16 04:00:00-04:00,301.01,313.3352
2025-04-16 04:05:00-04:00,299.5,313.60336
