date,actual,forecast
2025-01-30 14:35:00-05:00,92.48,92.15952
2025-01-30 14:40:00-05:00,92.3644,92.20731
2025-01-30 14:45:00-05:00,92.51,92.24316
2025-01-30 14:50:00-05:00,92.55,92.24316
2025-01-30 14:55:00-05:00,92.64,92.24316
2025-01-30 15:00:00-05:00,92.77,92.302895
2025-01-30 15:05:00-05:00,92.96,92.33874
2025-01-30 15:10:00-05:00,92.84,92.31484
2025-01-30 15:15:00-05:00,93.0518,92.31484
2025-01-30 15:20:00-05:00,93.07,92.36263
2025-01-30 15:25:00-05:00,92.93,92.41042
2025-01-30 15:30:00-05:00,92.75,92.43432
2025-01-30 15:35:00-05:00,92.19,92.43432
2025-01-30 15:40:00-05:00,92.1799,92.49406
2025-01-30 15:45:00-05:00,92.4,92.56574
2025-01-30 15:50:00-05:00,92.43,92.62548
2025-01-30 15:55:00-05:00,92.58,92.66132
2025-01-30 16:00:00-05:00,92.55,92.63743
2025-01-30 16:05:00-05:00,92.58,92.63743
2025-01-30 16:10:00-05:00,92.58,92.63743
2025-01-30 16:15:00-05:00,92.4899,92.67327
2025-01-30 16:20:00-05:00,92.35,92.68522
2025-01-30 16:25:00-05:00,92.3201,92.68522
2025-01-30 16:30:00-05:00,92.4,92.67327
2025-01-30 16:35:00-05:00,92.4291,92.67327
2025-01-30 16:40:00-05:00,92.35,92.709114
2025-01-30 16:45:00-05:00,92.32,92.7808
2025-01-30 16:50:00-05:00,92.2704,92.82858
2025-01-30 16:55:00-05:00,92.5,92.84053
2025-01-30 17:00:00-05:00,92.33,92.864426
2025-01-30 17:05:00-05:00,92.3668,92.90027
2025-01-30 17:10:00-05:00,92.36,92.91222
2025-01-30 17:15:00-05:00,92.3,92.91222
2025-01-30 17:20:00-05:00,92.41,92.924164
2025-01-30 17:25:00-05:00,92.47,92.96001
2025-01-30 17:30:00-05:00,92.73,92.99585
2025-01-30 17:35:00-05:00,92.56,92.99585
2025-01-30 17:40:00-05:00,92.52,93.019745
2025-01-30 17:45:00-05:00,92.52,93.067535
2025-01-30 17:50:00-05:00,92.4975,93.12727
2025-01-30 17:55:00-05:00,92.5,93.16312
2025-01-30 18:00:00-05:00,92.5,93.175064
2025-01-30 18:05:00-05:00,92.56,93.18701
2025-01-30 18:10:00-05:00,92.55,93.21091
2025-01-30 18:15:00-05:00,92.5147,93.24675
2025-01-30 18:20:00-05:00,92.7,93.28259
2025-01-30 18:25:00-05:00,92.38,93.28259
2025-01-30 18:30:00-05:00,90.5184,93.29454
2025-01-30 18:35:00-05:00,90.3,93.33038
2025-01-30 18:40:00-05:00,90.45,93.378174
2025-01-30 18:45:00-05:00,91.2,93.40207
2025-01-30 18:50:00-05:00,91.3,93.40207
2025-01-30 18:55:00-05:00,90.76,93.425964
2025-01-31 04:00:00-05:00,91.98,93.473755
2025-01-31 04:05:00-05:00,91.87,93.49765
2025-01-31 04:10:00-05:00,91.86,93.473755
2025-01-31 04:15:00-05:00,91.65,93.473755
2025-01-31 04:20:00-05:00,91.6,93.49765
2025-01-31 04:25:00-05:00,91.75,93.54544
2025-01-31 04:30:00-05:00,91.88,93.569336
2025-01-31 04:35:00-05:00,91.67,93.569336
2025-01-31 04:45:00-05:00,91.8,93.641014
2025-01-31 04:50:00-05:00,91.8,93.688805
2025-01-31 04:55:00-05:00,91.84,93.736595
2025-01-31 05:00:00-05:00,91.82,93.78394
2025-01-31 05:10:00-05:00,91.77,93.78394
2025-01-31 05:15:00-05:00,91.65,93.770935
2025-01-31 05:20:00-05:00,91.7,93.78394
2025-01-31 05:25:00-05:00,91.75,93.75793
2025-01-31 05:30:00-05:00,91.81,93.74491
2025-01-31 05:35:00-05:00,91.84,93.7319
2025-01-31 05:40:00-05:00,91.84,93.70589
2025-01-31 05:45:00-05:00,91.84,93.70589
2025-01-31 05:50:00-05:00,91.78,93.7319
2025-01-31 05:55:00-05:00,91.57,93.74491
2025-01-31 06:00:00-05:00,91.7,93.75793
2025-01-31 06:05:00-05:00,91.65,93.78394
2025-01-31 06:10:00-05:00,91.27,93.78394
2025-01-31 06:15:00-05:00,91.32,93.78394
2025-01-31 06:20:00-05:00,91.3,93.770935
2025-01-31 06:25:00-05:00,91.32,93.78394
2025-01-31 06:30:00-05:00,91.32,93.78394
2025-01-31 06:35:00-05:00,91.29,93.79695
2025-01-31 06:40:00-05:00,91.3,93.822975
2025-01-31 06:45:00-05:00,91.35,93.84899
2025-01-31 06:50:00-05:00,91.54,93.84899
2025-01-31 06:55:00-05:00,91.54,93.875015
2025-01-31 07:00:00-05:00,91.65,93.90103
2025-01-31 07:05:00-05:00,91.71,93.90103
2025-01-31 07:10:00-05:00,91.56,93.90103
2025-01-31 07:15:00-05:00,91.72,93.90103
2025-01-31 07:25:00-05:00,91.66,93.90103
2025-01-31 07:30:00-05:00,91.7,93.90103
2025-01-31 07:35:00-05:00,91.62,93.88802
2025-01-31 07:40:00-05:00,91.53,93.88802
2025-01-31 07:45:00-05:00,91.55,93.88802
2025-01-31 07:50:00-05:00,91.71,93.90103
2025-01-31 07:55:00-05:00,91.78,93.927055
2025-01-31 08:00:00-05:00,91.5,93.94006
2025-01-31 08:05:00-05:00,91.62,93.96608
2025-01-31 08:10:00-05:00,91.7,93.96608
2025-01-31 08:15:00-05:00,91.65,93.96608
2025-01-31 08:20:00-05:00,91.6,93.96608
2025-01-31 08:25:00-05:00,91.5001,93.96608
2025-01-31 08:30:00-05:00,91.41,93.96608
2025-01-31 08:35:00-05:00,91.5,93.96608
2025-01-31 08:40:00-05:00,91.5205,93.9921
2025-01-31 08:45:00-05:00,91.8,93.9921
2025-01-31 08:50:00-05:00,92.1,94.01812
2025-01-31 08:55:00-05:00,91.91,94.04414
2025-01-31 09:00:00-05:00,91.66,94.07016
2025-01-31 09:05:00-05:00,92.001,94.09618
2025-01-31 09:10:00-05:00,92.01,94.1222
2025-01-31 09:15:00-05:00,91.9573,94.09618
2025-01-31 09:20:00-05:00,91.84,94.09618
2025-01-31 09:25:00-05:00,91.5,94.07016
2025-01-31 09:30:00-05:00,92.175,94.07016
2025-01-31 09:35:00-05:00,91.6,94.07016
2025-01-31 09:40:00-05:00,91.81,94.07016
2025-01-31 09:45:00-05:00,91.73,94.04414
2025-01-31 09:50:00-05:00,92.2,94.07016
2025-01-31 09:55:00-05:00,92.56,94.07016
2025-01-31 10:00:00-05:00,92.67,94.09618
2025-01-31 10:05:00-05:00,92.8225,94.09618
2025-01-31 10:10:00-05:00,93.39,94.09618
2025-01-31 10:15:00-05:00,93.47,94.09618
2025-01-31 10:20:00-05:00,93.78,94.09618
2025-01-31 10:25:00-05:00,94.08,94.07016
