date,actual,forecast
2025-03-05 17:55:00-05:00,5.48,5.477732
2025-03-05 18:00:00-05:00,5.48,5.473906
2025-03-05 18:05:00-05:00,5.55,5.47008
2025-03-05 18:10:00-05:00,5.52,5.4637027
2025-03-05 18:15:00-05:00,5.4998,5.458601
2025-03-05 18:20:00-05:00,5.51,5.4535
2025-03-05 18:25:00-05:00,5.49,5.448398
2025-03-05 18:30:00-05:00,5.5,5.442021
2025-03-05 18:35:00-05:00,5.49,5.4381948
2025-03-05 18:40:00-05:00,5.4802,5.429267
2025-03-05 18:45:00-05:00,5.49,5.4267163
2025-03-05 18:50:00-05:00,5.48,5.4241652
2025-03-05 18:55:00-05:00,5.485,5.4190636
2025-03-06 04:00:00-05:00,5.4,5.412687
2025-03-06 04:05:00-05:00,5.41,5.40886
2025-03-06 04:10:00-05:00,5.4,5.405672
2025-03-06 04:15:00-05:00,5.38,5.403121
2025-03-06 04:20:00-05:00,5.36,5.3986573
2025-03-06 04:25:00-05:00,5.36,5.392918
2025-03-06 04:30:00-05:00,5.35,5.3859034
2025-03-06 04:35:00-05:00,5.35,5.3808017
2025-03-06 04:40:00-05:00,5.39,5.375062
2025-03-06 04:45:00-05:00,5.41,5.369961
2025-03-06 04:50:00-05:00,5.4,5.366134
2025-03-06 04:55:00-05:00,5.36,5.3680477
2025-03-06 05:00:00-05:00,5.35,5.366134
2025-03-06 05:05:00-05:00,5.35,5.366134
2025-03-06 05:10:00-05:00,5.35,5.364221
2025-03-06 05:15:00-05:00,5.36,5.362946
2025-03-06 05:20:00-05:00,5.4,5.35912
2025-03-06 05:25:00-05:00,5.38,5.3552933
2025-03-06 05:30:00-05:00,5.39,5.3559313
2025-03-06 05:35:00-05:00,5.38,5.358482
2025-03-06 05:40:00-05:00,5.37,5.3559313
2025-03-06 05:45:00-05:00,5.36,5.3578444
2025-03-06 05:50:00-05:00,5.35,5.3578444
2025-03-06 05:55:00-05:00,5.37,5.3559313
2025-03-06 06:00:00-05:00,5.37,5.3527427
2025-03-06 06:05:00-05:00,5.36,5.351467
2025-03-06 06:10:00-05:00,5.35,5.3489165
2025-03-06 06:15:00-05:00,5.37,5.3489165
2025-03-06 06:20:00-05:00,5.37,5.3482785
2025-03-06 06:25:00-05:00,5.38,5.345728
2025-03-06 06:30:00-05:00,5.38,5.341264
2025-03-06 06:35:00-05:00,5.375,5.3399887
2025-03-06 06:40:00-05:00,5.39,5.3399887
2025-03-06 06:45:00-05:00,5.4,5.3399887
2025-03-06 06:50:00-05:00,5.39,5.3431773
2025-03-06 06:55:00-05:00,5.41,5.3463655
2025-03-06 07:00:00-05:00,5.34,5.3489165
2025-03-06 07:05:00-05:00,5.34,5.352105
2025-03-06 07:10:00-05:00,5.35,5.351467
2025-03-06 07:15:00-05:00,5.33,5.3508296
2025-03-06 07:20:00-05:00,5.32,5.3482785
2025-03-06 07:25:00-05:00,5.36,5.349554
2025-03-06 07:30:00-05:00,5.331,5.3508296
2025-03-06 07:35:00-05:00,5.341,5.352105
2025-03-06 07:40:00-05:00,5.32,5.3482785
2025-03-06 07:45:00-05:00,5.31,5.350192
2025-03-06 07:50:00-05:00,5.31,5.351467
2025-03-06 07:55:00-05:00,5.3,5.352105
2025-03-06 08:00:00-05:00,5.3198,5.354018
2025-03-06 08:05:00-05:00,5.33,5.352105
2025-03-06 08:10:00-05:00,5.3002,5.3527427
2025-03-06 08:15:00-05:00,5.28,5.334209
2025-03-06 08:20:00-05:00,5.29,5.330872
2025-03-06 08:25:00-05:00,5.27,5.3320856
2025-03-06 08:30:00-05:00,5.33,5.331479
2025-03-06 08:35:00-05:00,5.3088,5.3317823
2025-03-06 08:40:00-05:00,5.34,5.3290524
2025-03-06 08:45:00-05:00,5.32,5.3275356
2025-03-06 08:50:00-05:00,5.34,5.328142
2025-03-06 08:55:00-05:00,5.2988,5.330569
2025-03-06 09:00:00-05:00,5.3197,5.330872
2025-03-06 09:05:00-05:00,5.3088,5.3320856
2025-03-06 09:10:00-05:00,5.31,5.3290524
2025-03-06 09:30:00-05:00,5.2385,5.3287487
2025-03-06 09:35:00-05:00,5.1948,5.3287487
2025-03-06 09:40:00-05:00,5.21,5.3299623
2025-03-06 09:45:00-05:00,5.299,5.3293557
2025-03-06 09:50:00-05:00,5.3683,5.3339057
2025-03-06 09:55:00-05:00,5.3092,5.3320856
2025-03-06 10:00:00-05:00,5.415,5.3317823
2025-03-06 10:05:00-05:00,5.505,5.330872
2025-03-06 10:10:00-05:00,5.5414,5.331176
2025-03-06 10:15:00-05:00,5.5132,5.330569
2025-03-06 10:20:00-05:00,5.505,5.3317823
2025-03-06 10:25:00-05:00,5.5043,5.332389
2025-03-06 10:30:00-05:00,5.425,5.336029
2025-03-06 10:35:00-05:00,5.515,5.3348155
2025-03-06 10:40:00-05:00,5.53,5.338759
2025-03-06 10:45:00-05:00,5.5269,5.338759
2025-03-06 10:50:00-05:00,5.5012,5.340579
2025-03-06 10:55:00-05:00,5.5588,5.340276
2025-03-06 11:00:00-05:00,5.64,5.342096
2025-03-06 11:05:00-05:00,5.655,5.3454323
2025-03-06 11:10:00-05:00,5.675,5.351499
2025-03-06 11:15:00-05:00,5.665,5.3508925
2025-03-06 11:20:00-05:00,5.5882,5.3539257
2025-03-06 11:25:00-05:00,5.5684,5.3545327
2025-03-06 11:30:00-05:00,5.57,5.3569593
2025-03-06 11:35:00-05:00,5.51,5.357566
2025-03-06 11:40:00-05:00,5.535,5.359386
2025-03-06 11:45:00-05:00,5.5509,5.3599925
2025-03-06 11:50:00-05:00,5.535,5.3636327
2025-03-06 11:55:00-05:00,5.485,5.363026
2025-03-06 12:00:00-05:00,5.43,5.3660593
2025-03-06 12:05:00-05:00,5.4001,5.364239
2025-03-06 12:10:00-05:00,5.335,5.364239
2025-03-06 12:15:00-05:00,5.365,5.3624196
2025-03-06 12:20:00-05:00,5.355,5.363026
2025-03-06 12:25:00-05:00,5.3209,5.364846
2025-03-06 12:30:00-05:00,5.35,5.3696995
2025-03-06 12:35:00-05:00,5.32,5.3678794
2025-03-06 12:40:00-05:00,5.36,5.372126
2025-03-06 12:45:00-05:00,5.345,5.3715196
2025-03-06 12:50:00-05:00,5.345,5.373946
2025-03-06 12:55:00-05:00,5.3977,5.3733397
2025-03-06 13:00:00-05:00,5.375,5.3757663
2025-03-06 13:05:00-05:00,5.3208,5.37698
2025-03-06 13:10:00-05:00,5.3259,5.3794065
2025-03-06 13:15:00-05:00,5.3458,5.3775864
2025-03-06 13:20:00-05:00,5.35,5.3806195
2025-03-06 13:25:00-05:00,5.28,5.3812265
2025-03-06 13:30:00-05:00,5.29,5.3824396
2025-03-06 13:35:00-05:00,5.263228,5.3824396
2025-03-06 13:40:00-05:00,5.245,5.3824396
2025-03-06 13:45:00-05:00,5.2788,5.381833
