date,actual,forecast
2025-04-10 15:15:00-04:00,251.65,251.10835
2025-04-10 15:20:00-04:00,249.39,251.0107
2025-04-10 15:25:00-04:00,247.7575,250.97815
2025-04-10 15:30:00-04:00,248.585,251.0758
2025-04-10 15:35:00-04:00,247.685,250.91304
2025-04-10 15:40:00-04:00,245.7307,250.84795
2025-04-10 15:45:00-04:00,246.93,250.75029
2025-04-10 15:50:00-04:00,251.8901,250.71773
2025-04-10 15:55:00-04:00,252.4,250.68518
2025-04-10 16:00:00-04:00,254.3,250.48987
2025-04-10 16:05:00-04:00,253.87,250.39221
2025-04-10 16:10:00-04:00,254.08,250.22946
2025-04-10 16:15:00-04:00,252.5999,250.03415
2025-04-10 16:20:00-04:00,252.27,250.03415
2025-04-10 16:25:00-04:00,252.27,249.9365
2025-04-10 16:30:00-04:00,252.245,250.00159
2025-04-10 16:35:00-04:00,252.0,249.87138
2025-04-10 16:40:00-04:00,251.8,249.90393
2025-04-10 16:45:00-04:00,252.24,249.87138
2025-04-10 16:50:00-04:00,252.49,249.96904
2025-04-10 16:55:00-04:00,252.27,249.90393
2025-04-10 17:00:00-04:00,252.18,249.9365
2025-04-10 17:05:00-04:00,251.86,249.80629
2025-04-10 17:10:00-04:00,251.19,249.67607
2025-04-10 17:15:00-04:00,250.7,249.67607
2025-04-10 17:20:00-04:00,250.96,249.64352
2025-04-10 17:25:00-04:00,250.78,249.54587
2025-04-10 17:30:00-04:00,250.71,249.57841
2025-04-10 17:35:00-04:00,250.55,249.48076
2025-04-10 17:40:00-04:00,250.2,249.48076
2025-04-10 17:45:00-04:00,250.14,249.51332
2025-04-10 17:50:00-04:00,250.68,249.57841
2025-04-10 17:55:00-04:00,250.48,249.57841
2025-04-10 18:00:00-04:00,251.575,249.38312
2025-04-10 18:05:00-04:00,251.88,249.38312
2025-04-10 18:10:00-04:00,251.78,249.38312
2025-04-10 18:15:00-04:00,251.31,249.31801
2025-04-10 18:20:00-04:00,251.4,249.31801
2025-04-10 18:25:00-04:00,251.665,249.35056
2025-04-10 18:30:00-04:00,252.12,249.48076
2025-04-10 18:35:00-04:00,252.175,249.54587
2025-04-10 18:40:00-04:00,252.6011,249.61098
2025-04-10 18:45:00-04:00,252.66,249.48076
2025-04-10 18:50:00-04:00,252.41,249.61098
2025-04-10 18:55:00-04:00,251.84,249.51332
2025-04-10 19:00:00-04:00,251.0,249.64352
2025-04-10 19:05:00-04:00,250.95,249.64352
2025-04-10 19:10:00-04:00,249.1,249.61098
2025-04-10 19:15:00-04:00,249.745,249.64352
2025-04-10 19:20:00-04:00,249.0483,249.64352
2025-04-10 19:25:00-04:00,247.79,249.67607
2025-04-10 19:30:00-04:00,248.25,249.70863
2025-04-10 19:35:00-04:00,248.0,249.64352
2025-04-10 19:40:00-04:00,248.708,249.67607
2025-04-10 19:45:00-04:00,248.305,249.74118
2025-04-10 19:50:00-04:00,247.825,249.87138
2025-04-10 19:55:00-04:00,247.74,249.9365
2025-04-11 04:00:00-04:00,252.15,249.74118
2025-04-11 04:05:00-04:00,252.39,249.64352
2025-04-11 04:10:00-04:00,251.02,249.80629
2025-04-11 04:15:00-04:00,249.06,249.74118
2025-04-11 04:20:00-04:00,247.73,249.80629
2025-04-11 04:25:00-04:00,247.63,249.87138
2025-04-11 04:30:00-04:00,247.31,250.03415
2025-04-11 04:35:00-04:00,247.31,249.27611
2025-04-11 04:40:00-04:00,247.81,249.15234
2025-04-11 04:45:00-04:00,248.12,249.1214
2025-04-11 04:50:00-04:00,247.62,249.27611
2025-04-11 04:55:00-04:00,247.99,249.27611
2025-04-11 05:00:00-04:00,248.03,249.27611
2025-04-11 05:05:00-04:00,247.98,249.338
2025-04-11 05:10:00-04:00,247.95,249.39987
2025-04-11 05:15:00-04:00,248.42,249.55458
2025-04-11 05:20:00-04:00,249.09,249.55458
2025-04-11 05:25:00-04:00,250.17,249.67834
2025-04-11 05:30:00-04:00,250.8,249.70929
2025-04-11 05:35:00-04:00,251.04,249.83305
2025-04-11 05:40:00-04:00,251.5,249.864
2025-04-11 05:45:00-04:00,250.19,249.89494
2025-04-11 05:50:00-04:00,252.03,250.11154
2025-04-11 05:55:00-04:00,253.51,250.26624
2025-04-11 06:00:00-04:00,253.16,250.32812
2025-04-11 06:05:00-04:00,252.9,250.45189
2025-04-11 06:10:00-04:00,252.69,250.51378
2025-04-11 06:15:00-04:00,252.0,250.57565
2025-04-11 06:20:00-04:00,253.13,250.57565
2025-04-11 06:25:00-04:00,252.8,250.63754
2025-04-11 06:30:00-04:00,252.9,250.7613
2025-04-11 06:35:00-04:00,253.31,251.00883
2025-04-11 06:40:00-04:00,252.83,250.94696
2025-04-11 06:45:00-04:00,251.91,251.07072
2025-04-11 06:50:00-04:00,252.19,251.19449
2025-04-11 06:55:00-04:00,252.3,251.22543
2025-04-11 07:00:00-04:00,252.88,251.25638
2025-04-11 07:05:00-04:00,253.41,251.3492
2025-04-11 07:10:00-04:00,252.76,251.5039
2025-04-11 07:15:00-04:00,252.0,251.5658
2025-04-11 07:20:00-04:00,252.0,251.59673
2025-04-11 07:25:00-04:00,251.57,251.65862
2025-04-11 07:30:00-04:00,251.58,251.72049
2025-04-11 07:35:00-04:00,250.95,251.72049
2025-04-11 07:40:00-04:00,250.8,251.81332
2025-04-11 07:45:00-04:00,250.55,251.81332
2025-04-11 07:50:00-04:00,250.82,251.84427
2025-04-11 07:55:00-04:00,251.66,251.90614
2025-04-11 08:00:00-04:00,252.32,251.90614
2025-04-11 08:05:00-04:00,251.605,252.0918
2025-04-11 08:10:00-04:00,251.94,252.12274
2025-04-11 08:15:00-04:00,251.7652,251.99898
2025-04-11 08:20:00-04:00,251.66,251.90614
2025-04-11 08:25:00-04:00,252.1599,251.81332
2025-04-11 08:30:00-04:00,253.89,251.90614
2025-04-11 08:35:00-04:00,253.51,251.90614
2025-04-11 08:40:00-04:00,252.76,251.75143
2025-04-11 08:45:00-04:00,252.01,251.8752
2025-04-11 08:50:00-04:00,252.15,251.90614
2025-04-11 08:55:00-04:00,251.2,251.90614
2025-04-11 09:00:00-04:00,251.38,251.75143
2025-04-11 09:05:00-04:00,250.4,251.81332
2025-04-11 09:10:00-04:00,249.57,251.84427
2025-04-11 09:15:00-04:00,249.9,251.93709
2025-04-11 09:20:00-04:00,250.75,251.93709
2025-04-11 09:25:00-04:00,251.7401,251.96803
2025-04-11 09:30:00-04:00,254.66,251.96803
2025-04-11 09:35:00-04:00,256.1332,251.8752
2025-04-11 09:40:00-04:00,254.31,251.96803
2025-04-11 09:45:00-04:00,253.125,251.84427
2025-04-11 09:50:00-04:00,253.6676,251.72049
