date,actual,forecast
2025-02-19 08:50:00-05:00,29.54,29.559216
2025-02-19 08:55:00-05:00,29.32,29.556192
2025-02-19 09:00:00-05:00,29.42,29.55015
2025-02-19 09:05:00-05:00,29.42,29.544107
2025-02-19 09:15:00-05:00,29.42,29.542093
2025-02-19 09:20:00-05:00,29.42,29.545115
2025-02-19 09:25:00-05:00,29.35,29.546122
2025-02-19 09:30:00-05:00,29.525,29.538065
2025-02-19 09:35:00-05:00,29.5626,29.532022
2025-02-19 09:40:00-05:00,29.98,29.529001
2025-02-19 09:45:00-05:00,29.83,29.527994
2025-02-19 09:50:00-05:00,29.9386,29.522957
2025-02-19 09:55:00-05:00,29.79,29.524971
2025-02-19 10:00:00-05:00,29.69,29.529001
2025-02-19 10:05:00-05:00,29.835,29.53605
2025-02-19 10:10:00-05:00,29.93,29.535044
2025-02-19 10:15:00-05:00,30.115,29.535044
2025-02-19 10:20:00-05:00,30.3,29.532022
2025-02-19 10:25:00-05:00,30.43,29.53605
2025-02-19 10:30:00-05:00,30.6,29.537058
2025-02-19 10:35:00-05:00,30.55,29.539072
2025-02-19 10:40:00-05:00,30.635,29.53303
2025-02-19 10:45:00-05:00,30.655,29.52598
2025-02-19 10:50:00-05:00,30.64,29.515907
2025-02-19 10:55:00-05:00,30.55,29.512886
2025-02-19 11:00:00-05:00,30.89,29.505836
2025-02-19 11:05:00-05:00,31.4915,29.500801
2025-02-19 11:10:00-05:00,31.23,29.505836
2025-02-19 11:15:00-05:00,31.265,29.509865
2025-02-19 11:20:00-05:00,31.35,29.510872
2025-02-19 11:25:00-05:00,31.64,29.516914
2025-02-19 11:30:00-05:00,31.8,29.5149
2025-02-19 11:35:00-05:00,32.145,29.516914
2025-02-19 11:40:00-05:00,32.16,29.512886
2025-02-19 11:45:00-05:00,31.98,29.515907
2025-02-19 11:50:00-05:00,32.5,29.520943
2025-02-19 11:55:00-05:00,32.29,29.531015
2025-02-19 12:00:00-05:00,32.19,29.535044
2025-02-19 12:05:00-05:00,32.4534,29.537058
2025-02-19 12:10:00-05:00,32.6,29.53605
2025-02-19 12:15:00-05:00,32.77,29.545115
2025-02-19 12:20:00-05:00,32.435,29.544107
2025-02-19 12:25:00-05:00,32.67,29.534037
2025-02-19 12:30:00-05:00,32.8486,29.530008
2025-02-19 12:35:00-05:00,32.7854,29.534037
2025-02-19 12:40:00-05:00,33.0,29.532022
2025-02-19 12:45:00-05:00,33.28,29.532022
2025-02-19 12:50:00-05:00,33.5536,29.524971
2025-02-19 12:55:00-05:00,33.4,29.52598
2025-02-19 13:00:00-05:00,33.52,29.522957
2025-02-19 13:05:00-05:00,33.62,29.515907
