date,actual,forecast
2025-03-03 20:25:00,4.823200225830078,4.7643027
2025-03-03 20:30:00,4.849999904632568,4.7676578
2025-03-03 20:35:00,4.815000057220459,4.773304
2025-03-03 20:40:00,4.804999828338623,4.766554
2025-03-03 20:45:00,4.837800025939941,4.7648606
2025-03-03 20:50:00,4.849999904632568,4.757205
2025-03-03 20:55:00,4.900000095367432,4.7503433
2025-03-03 21:00:00,4.96,4.75057
2025-03-03 21:05:00,4.97,4.7447195
2025-03-03 21:10:00,4.98,4.743402
2025-03-03 21:15:00,5.02,4.749617
2025-03-03 21:20:00,4.99,4.7423463
2025-03-03 21:25:00,4.9901,4.7433977
2025-03-03 21:30:00,4.9799,4.744327
2025-03-03 21:35:00,5.0194,4.74866
2025-03-03 21:40:00,5.05,4.7433863
2025-03-03 21:45:00,5.07,4.7472897
2025-03-03 21:50:00,5.04,4.7389445
2025-03-03 21:55:00,5.06,4.7379804
2025-03-03 22:00:00,5.03,4.7269845
2025-03-03 22:05:00,5.03,4.729373
2025-03-03 22:10:00,5.03,4.721606
2025-03-03 22:15:00,5.06,4.7204843
2025-03-03 22:20:00,5.05,4.714325
2025-03-03 22:25:00,5.03,4.70852
2025-03-03 22:30:00,5.03,4.7032084
2025-03-03 22:35:00,5.02,4.7048874
2025-03-03 22:40:00,5.0297,4.6964593
2025-03-03 22:45:00,5.01,4.693163
2025-03-03 22:50:00,5.01,4.6862154
2025-03-03 22:55:00,5.01,4.6868033
2025-03-03 23:00:00,5.0,4.6894217
2025-03-03 23:05:00,5.01,4.68702
2025-03-03 23:10:00,5.01,4.6885314
2025-03-03 23:15:00,5.0099,4.690035
2025-03-03 23:20:00,5.01,4.6821365
2025-03-03 23:25:00,5.0196,4.67653
2025-03-03 23:30:00,5.0,4.676243
2025-03-03 23:35:00,5.01,4.6766777
2025-03-03 23:40:00,5.0001,4.6766005
2025-03-03 23:45:00,5.0002,4.6783805
2025-03-03 23:50:00,5.01,4.6773176
2025-03-03 23:55:00,5.02,4.67805
2025-03-04 09:00:00,4.94,4.6682124
2025-03-04 09:05:00,4.97,4.6706686
2025-03-04 09:10:00,4.97,4.668819
2025-03-04 09:15:00,4.99,4.6697474
2025-03-04 09:20:00,4.99,4.6689157
2025-03-04 09:25:00,4.97,4.666275
2025-03-04 09:30:00,4.975,4.663579
