date,actual,forecast
2025-04-09 17:45:00,6.90880012512207,6.696191
2025-04-09 17:50:00,6.920000076293945,6.504215
2025-04-09 17:55:00,7.099999904632568,6.7429852
2025-04-09 18:00:00,7.164999961853027,5.909197
2025-04-09 18:05:00,7.079999923706055,5.857523
2025-04-09 18:10:00,7.068900108337402,5.9552426
2025-04-09 18:15:00,7.130000114440918,5.8722773
2025-04-09 18:20:00,7.21999979019165,6.2122297
2025-04-09 18:25:00,7.235000133514404,6.1622753
2025-04-09 18:30:00,7.153600215911865,5.9776635
2025-04-09 18:35:00,7.269999980926514,6.1428585
2025-04-09 18:40:00,7.130000114440918,5.9088326
2025-04-09 18:45:00,7.119900226593018,6.28878
2025-04-09 18:50:00,7.099999904632568,6.075687
2025-04-09 18:55:00,7.034999847412109,6.442562
2025-04-09 19:00:00,7.170100212097168,7.029182
2025-04-09 19:05:00,7.175000190734863,7.040941
2025-04-09 19:10:00,7.264999866485596,6.4888983
2025-04-09 19:15:00,7.289999961853027,6.2228246
2025-04-09 19:20:00,7.289999961853027,5.9907603
2025-04-09 19:25:00,7.289999961853027,5.9196978
2025-04-09 19:30:00,7.267499923706055,5.840699
2025-04-09 19:35:00,7.235000133514404,5.988771
2025-04-09 19:40:00,7.244999885559082,6.345609
2025-04-09 19:45:00,7.241099834442139,6.2872753
2025-04-09 19:50:00,7.260000228881836,5.911969
2025-04-09 19:55:00,7.199999809265137,6.193646
2025-04-09 20:00:00,7.25,5.922488
2025-04-09 20:05:00,7.2,6.256599
2025-04-09 20:10:00,7.14,6.1981783
2025-04-09 20:15:00,7.14,6.114935
2025-04-09 20:20:00,7.1607,6.481762
2025-04-09 20:25:00,7.22,6.638338
2025-04-09 20:30:00,7.22,6.507143
2025-04-09 20:35:00,7.2104,6.494802
2025-04-09 20:40:00,7.2202,5.839678
2025-04-09 20:45:00,7.2401,5.942739
2025-04-09 20:50:00,7.25,5.956558
2025-04-09 20:55:00,7.26,6.0556693
2025-04-09 21:00:00,7.2599,6.3230696
2025-04-09 21:05:00,7.26,6.270991
2025-04-09 21:10:00,7.29,6.198027
2025-04-09 21:15:00,7.29,6.305609
2025-04-09 21:20:00,7.25,6.146069
2025-04-09 21:25:00,7.25,6.308375
2025-04-09 21:30:00,7.28,6.3351736
2025-04-09 21:35:00,7.26,6.655596
2025-04-09 21:40:00,7.26,7.227907
2025-04-09 21:45:00,7.24,7.0756936
2025-04-09 21:50:00,7.25,6.350866
2025-04-09 21:55:00,7.239,6.279836
2025-04-09 22:00:00,7.23,5.9011874
2025-04-09 22:05:00,7.2501,5.9564266
2025-04-09 22:10:00,7.26,5.8587904
2025-04-09 22:15:00,7.27,6.076771
2025-04-09 22:20:00,7.25,6.5541964
2025-04-09 22:25:00,7.36,6.3045726
2025-04-09 22:30:00,7.39,5.9746356
2025-04-09 22:35:00,7.34,6.1175237
2025-04-09 22:40:00,7.35,5.933109
2025-04-09 22:45:00,7.32,6.2986526
2025-04-09 22:50:00,7.31,6.138164
2025-04-09 22:55:00,7.33,6.2378345
2025-04-09 23:00:00,7.34,6.4656982
2025-04-09 23:05:00,7.35,6.5960326
2025-04-09 23:10:00,7.35,6.523223
2025-04-09 23:15:00,7.3497,6.4714527
2025-04-09 23:20:00,7.3699,5.9245467
2025-04-09 23:25:00,7.3498,6.074073
2025-04-09 23:30:00,7.3301,6.098784
2025-04-09 23:35:00,7.3198,6.107567
2025-04-09 23:40:00,7.33,6.3343625
2025-04-09 23:45:00,7.3701,6.3310003
2025-04-09 23:50:00,7.36,6.2311664
2025-04-09 23:55:00,7.3597,6.3472466
2025-04-10 08:00:00,7.15,6.326924
2025-04-10 08:05:00,7.06,6.495615
2025-04-10 08:10:00,7.04,6.335434
2025-04-10 08:15:00,6.91,6.5023746
2025-04-10 08:20:00,6.88,6.996518
2025-04-10 08:25:00,6.91,6.7872167
2025-04-10 08:30:00,6.86,6.252628
2025-04-10 08:35:00,6.87,6.2603045
2025-04-10 08:40:00,6.91,5.9933367
2025-04-10 08:45:00,6.91,5.935335
2025-04-10 08:50:00,6.92,5.88329
2025-04-10 08:55:00,6.92,6.163702
2025-04-10 09:00:00,6.94,6.5319557
2025-04-10 09:05:00,6.93,6.323793
2025-04-10 09:10:00,6.98,6.1114774
2025-04-10 09:15:00,7.0,6.2103033
2025-04-10 09:20:00,7.05,6.155834
2025-04-10 09:25:00,7.0,6.454028
2025-04-10 09:30:00,7.05,6.494598
2025-04-10 09:35:00,7.05,6.452724
2025-04-10 09:40:00,7.04,6.522261
2025-04-10 09:45:00,7.04,6.734399
2025-04-10 09:50:00,7.06,6.6252165
2025-04-10 09:55:00,7.02,6.7982373
2025-04-10 10:00:00,7.03,6.306387
2025-04-10 10:05:00,7.05,6.2810926
2025-04-10 10:10:00,7.1,6.3592772
2025-04-10 10:15:00,7.09,6.2562556
2025-04-10 10:20:00,7.05,6.469416
2025-04-10 10:25:00,7.02,6.4493895
2025-04-10 10:30:00,7.05,6.4472456
2025-04-10 10:35:00,7.04,6.6147227
2025-04-10 10:40:00,7.02,6.392254
2025-04-10 10:45:00,6.98,6.559558
2025-04-10 10:50:00,6.94,6.29781
2025-04-10 10:55:00,6.94,6.59591
2025-04-10 11:00:00,6.94,7.022292
2025-04-10 11:05:00,7.02,6.945162
2025-04-10 11:10:00,7.02,6.597984
2025-04-10 11:15:00,7.03,6.4808807
2025-04-10 11:20:00,7.029,6.296331
2025-04-10 11:25:00,7.0,6.2673903
2025-04-10 11:30:00,7.01,6.2966104
2025-04-10 11:35:00,7.03,6.277895
2025-04-10 11:40:00,7.02,6.6534305
2025-04-10 11:45:00,7.05,6.5389557
2025-04-10 11:50:00,7.05,6.227812
2025-04-10 11:55:00,7.05,6.5368714
2025-04-10 12:00:00,7.04,6.309055
2025-04-10 12:05:00,7.0397,6.6206717
2025-04-10 12:10:00,7.0376,6.564376
2025-04-10 12:15:00,7.0391,6.4347205
2025-04-10 12:20:00,7.0099,6.494698
