date,actual,forecast
2025-02-20 22:40:00,353.1,352.72128
2025-02-20 22:45:00,353.1,352.7211
2025-02-20 22:50:00,353.1,352.72134
2025-02-20 22:55:00,353.2,352.6284
2025-02-20 23:00:00,353.395,352.66974
2025-02-20 23:05:00,353.5,352.6626
2025-02-20 23:10:00,353.65,352.76004
2025-02-20 23:15:00,353.73,352.82526
2025-02-20 23:20:00,353.615,352.93466
2025-02-20 23:25:00,353.56,352.92172
2025-02-20 23:30:00,353.41,352.95224
2025-02-20 23:35:00,353.59,352.9251
2025-02-20 23:40:00,353.65,352.9911
2025-02-20 23:45:00,353.55,353.0166
2025-02-20 23:50:00,353.3,353.09113
2025-02-20 23:55:00,353.08,353.19693
2025-02-21 09:00:00,353.39,353.29565
2025-02-21 09:05:00,353.82,353.24588
2025-02-21 09:10:00,352.45,353.24847
2025-02-21 09:15:00,352.81,353.176
2025-02-21 09:20:00,352.9,353.20657
2025-02-21 09:25:00,353.16,353.23462
2025-02-21 09:30:00,353.26,353.3072
2025-02-21 09:35:00,353.37,353.39688
2025-02-21 09:40:00,353.33,353.48975
2025-02-21 09:45:00,353.55,353.4092
2025-02-21 09:50:00,353.59,353.402
2025-02-21 09:55:00,353.86,353.31647
2025-02-21 10:00:00,353.19,353.34778
2025-02-21 10:05:00,353.31,353.31738
2025-02-21 10:10:00,353.41,353.38828
2025-02-21 10:15:00,353.53,353.41452
2025-02-21 10:20:00,353.54,353.46567
2025-02-21 10:25:00,353.49,353.41504
2025-02-21 10:30:00,353.37,353.4723
2025-02-21 10:35:00,353.31,353.40308
2025-02-21 10:40:00,353.37,353.3911
2025-02-21 10:45:00,353.29,353.47308
2025-02-21 10:50:00,353.33,353.55884
2025-02-21 10:55:00,353.52,353.61438
2025-02-21 11:00:00,353.73,353.74084
2025-02-21 11:05:00,353.6,353.6928
2025-02-21 11:10:00,353.51,353.6821
2025-02-21 11:15:00,353.3,353.60007
2025-02-21 11:20:00,353.4,353.63947
2025-02-21 11:25:00,353.41,353.65466
2025-02-21 11:30:00,353.37,353.6928
2025-02-21 11:35:00,353.08,353.73663
2025-02-21 11:40:00,353.02,353.75488
2025-02-21 11:45:00,353.23,353.72626
2025-02-21 11:50:00,353.0,353.68417
2025-02-21 11:55:00,353.12,353.58163
2025-02-21 12:00:00,352.7,353.64532
2025-02-21 12:05:00,352.85,353.69064
2025-02-21 12:10:00,352.89,353.7313
2025-02-21 12:15:00,353.29,353.76654
2025-02-21 12:20:00,353.37,353.796
2025-02-21 12:25:00,353.44,353.74783
2025-02-21 12:30:00,353.98,353.79807
2025-02-21 12:35:00,354.1,353.69232
2025-02-21 12:40:00,354.9,353.70493
2025-02-21 12:45:00,354.69,353.7543
2025-02-21 12:50:00,354.87,353.84357
2025-02-21 12:55:00,355.5,353.88416
2025-02-21 13:00:00,355.7,353.96558
2025-02-21 13:05:00,356.16,353.9814
2025-02-21 13:10:00,356.3404,353.96436
2025-02-21 13:15:00,355.75,353.84467
2025-02-21 13:20:00,355.7127,353.89233
2025-02-21 13:25:00,356.24,353.94672
2025-02-21 13:30:00,355.89,353.99704
2025-02-21 13:35:00,355.21,354.01392
2025-02-21 13:40:00,355.94,354.1115
2025-02-21 13:45:00,355.34,354.06992
2025-02-21 13:50:00,355.75,354.06088
2025-02-21 13:55:00,355.55,353.96252
